,Spanish,Quizlet


0,*gritos* (grito),"*Screams*
noun: shouting, uproar"


1,*dolares* (dólar),"*Dollars*
"


2,*asegurarme* (asegurar),"*make sure*
"


3,*restos* (resto),"*remains*
noun: remains, ruins, leftovers"


4,*pierdo* (perder),"*I lose*
verb: lose, miss, waste"


5,*motivos* (motivo),"*reasons*
noun: reason, motive, occasion
adjective: motive"


6,*dimos* (decir),"*we gave*
verb: give, yield, lend"


7,*campeonato*,"*championship*
noun: championship, title"


8,*apúrense* (apurar),"*hurry up*
"


9,*unico* (único),"*only*
adjective: only, unique, single"


10,*reír*,"*laugh*
verb: laugh"


11,*prima*,"*cousin*
noun: premium, bonus, cousin"


12,*maricón*,"*fagot*
noun: fagot, fag, queer"


13,*actúa* (actuar),"*act*
verb: act, perform, play"


14,*periodista*,"*journalist*
noun: journalist, reporter, newspaperman"


15,*luchando* (luchar),"*struggling*
verb: fight, struggle, strive"


16,*estelar*,"*stellar*
adjective: stellar"


17,*escritor*,"*writer*
noun: writer, penman"


18,*encontrarás* (encontrar),"*you'll find*
verb: find, meet, encounter"


19,*dejando* (dejar),"*leaving*
verb: leave, let, stop"


20,*adecuado*,"*appropriate*
adjective: suitable, appropriate, adequate"


21,*terrorista*,"*terrorist*
adjective: terrorist
noun: terrorist"


22,*hierro*,"*iron*
noun: iron"


23,*enterrado* (enterrado enterrar),"*buried*
adjective: buried"


24,*sincero*,"*sincere*
adjective: sincere, honest, candid"


25,*representa* (representar),"*It represents*
verb: represent, depict, play"


26,*positivo*,"*positive*
adjective: positive, plus, assertive
noun: positive"


27,*mereces* (merecer),"*you deserve*
verb: deserve, merit, earn"


28,*italia* (Italia),"*Italy*
noun: Italy"


29,*fea* (feo),"*ugly*
adjective: ugly, unsightly, nasty"


30,*acerques* (acercar),"*approach*
verb: bring closer, bring near, draw near"


31,*petróleo*,"*Petroleum*
noun: oil, petroleum, paraffin"


32,*encargado* (encargado encargar),"*in charge*
adverb: in charge
adjective: mandated
noun: attendant"


33,*capítulo*,"*chapter*
noun: chapter, episode"


34,*enseñaré* (enseñar),"*i will teach*
verb: teach, show, train"


35,*cuentos* (cuento),"*stories*
noun: story, tale, fairy tale"


36,*breve*,"*brief*
adjective: brief, short, terse
noun: brief, breve"


37,*atreves* (atrever),"*dare*
"


38,*súbete* (subir),"*get on*
"


39,*sed*,"*thirst*
noun: thirst, craving, thirstiness"


40,*patético*,"*pathetic*
adjective: pathetic, piteous, pathetical"


41,*mostrarte* (mostrar),"*show you*
"


42,*doctores* (doctor),"*doctors*
noun: doctor, doc"


43,*carácter*,"*character*
noun: character, nature, type"


44,*tuyos* (tuyo),"*yours*
pronoun: yours"


45,*plaza*,"*square*
noun: square, plaza, place"


46,*obispo*,"*bishop*
noun: bishop"


47,*necesite* (necesitar),"*need*
verb: need, require, take"


48,*muevan* (mover),"*move*
verb: move, shift, shake"


49,*involucrado* (involucrado involucrar),"*involved*
adjective: involved, implicated"


