,Spanish,Quizlet


0,*querrías* (querer),"*would you like*
verb: want, love, wish"


1,*quedara* (quedar),"*will remain*
verb: stay, remain, keep"


2,*ordenador*,"*computer*
noun: computer"


3,*jodidos* (jodido joder),"*fucked up*
verb: fuck, screw, fuck up"


4,*enfermeras* (enfermera),"*nurses*
noun: nurse"


5,*despertado* (despertado despertar),"*woken up*
verb: wake, awaken, arouse"


6,*comentarios* (comentario),"*comments*
noun: commentation"


7,*alumnos* (alumno),"*students*
noun: student, pupil, disciple"


8,*aburrida* (aburrido aburrir),"*bored*
adjective: boring, dull, tired"


9,*superar*,"*get over*
verb: overcome, surpass, pass"


10,*norma* (norma normar),"*rule*
noun: rule, norm, policy"


11,*musical*,"*musical*
adjective: musical, music
noun: musical"


12,*lápiz*,"*pencil*
noun: pencil"


13,*jodan* (joder),"*fuck*
verb: fuck, screw, fuck up"


14,*incluye* (incluir),"*includes*
verb: include, cover, incorporate"


15,*fruta*,"*fruit*
noun: fruit"


16,*entran* (entrar),"*come in*
verb: enter, get in, come in"


17,*eléctrica* (eléctrica eléctrico),"*electrical*
adjective: electric, electrical
noun: electric, fan"


18,*crítica*,"*criticism*
noun: review, criticism, critique"


19,*comí* (comer),"*I ate*
verb: eat, lunch, meal"


20,*chip*,"*chip*
noun: chip"


21,*cargado* (cargado cargar),"*loaded*
adjective: loaded, laden
noun: charged"


22,*altas* (alta alto),"*tall*
adjective: high, tall, upper"


23,*venden* (vender),"*Do you sell*
verb: sell, market, trade"


24,*superiores* (superior),"*superiors*
adjective: top, upper, higher
noun: superior, better"


25,*sufriendo* (sufrir),"*suffering*
verb: suffer, experience, sustain"


26,*sacamos* (sacar),"*we take out*
verb: take, get, draw"


27,*invitó* (invitar),"*invited*
verb: invite, ask, invite over"


28,*huelo* (oler),"*I smell*
verb: smell, sniff, scent"


29,*harían* (hacer),"*they would*
verb: do, make, ask"


30,*gastar*,"*spend*
verb: spend, expend, waste"


31,*escapa* (escapar),"*escape*
verb: escape, get away, flee"


32,*confirmar*,"*confirm*
verb: confirm, support, uphold"


33,*quitado* (quitado quitar),"*taken away*
adjective: taken, left, gone
noun: falconry"


34,*probando* (probar),"*testing*
verb: try, test, prove"


35,*perímetro*,"*perimeter*
noun: perimeter, contour"


36,*pegado* (pegado pegar),"*glued*
adjective: glued, fastened"


37,*olviden* (olvidar),"*forget*
verb: forget, neglect, leave"


38,*mentirosa* (mentiroso),"*liar*
noun: liar, deceiver, fibber
adjective: lying, false, deceitful"


39,*incapaz*,"*unable*
adjective: unable, incapable, helpless"


40,*forense*,"*forensic*
adjective: forensic"


41,*ésas* (ese esa),"*those*
pronoun: those"


42,*dignidad*,"*dignity*
noun: dignity, rank, pride"


43,*detectives* (detective),"*detectives*
noun: detective, sleuth, private eye"


44,*deportes* (deporte),"*sports*
noun: sports"


45,*delicado*,"*delicate*
adjective: delicate, dainty, subtle"


46,*cuarenta*,"*forty*
noun: forty
: forty, fortieth"


