,Spanish,Quizlet


0,*abre* (abrir),"*opens*
verb: open, open up, start"


1,*sean* (ser),"*be*
verb: be, come, come of"


2,*pagar*,"*pay*
verb: pay, pay for, repay"


3,*fotos* (foto),"*photos*
noun: photo, shot, snapshot"


4,*centro* (centro centrar),"*center*
noun: center, focus, middle"


5,*supone* (suponer),"*supposed*
verb: suppose, involve, guess"


6,*basura*,"*trash*
noun: garbage, trash, waste"


7,*situación*,"*situation*
noun: situation, location, position"


8,*mejores* (mejor),"*top*
adjective: best, better, lead"


9,*vienen* (venir),"*they come*
verb: come, come round, come through"


10,*encanta* (encantar),"*loves*
verb: love, enchant, delight"


11,*marido*,"*husband*
noun: husband"


12,*personal*,"*staff*
noun: staff, personnel, crew
adjective: personal, individual, private"


13,*maestro*,"*teacher*
adjective: master, masterful, expert
noun: master, teacher, maestro"


14,*hambre*,"*hunger*
noun: hunger, famine, starvation"


15,*ataque* (ataque atacar),"*stroke*
noun: attack, strike, assault"


16,*culo*,"*ass*
noun: ass, bum, bottom"


17,*dale* (dar),"*Go ahead*
"


18,*pie*,"*foot*
noun: foot, bottom, footing
abbreviation: f., ft."


19,*conseguir*,"*get*
verb: get, achieve, obtain"


20,*trabajando* (trabajar),"*working*
verb: work, job, labor"


21,*gracioso*,"*funny*
adjective: funny, graceful, gracious
noun: joker"


22,*dejó* (dejar),"*let*
noun: tinge, trace, taste"


23,*pudo* (poder),"*could*
verb: be able to, can, may"


24,*derecha*,"*right*
noun: right, right hand, right side
abbreviation: r.h."


25,*izquierda*,"*left*
noun: left
abbreviation: l.h."


26,*próxima* (próximo),"*next*
adjective: next, near, close"


27,*pobre*,"*poor*
adjective: poor, meager, pauper
noun: pauper, beggar"


28,*respuesta*,"*answer*
noun: response, answer, reply"


29,*tipos* (tipo),"*guys*
noun: type"


30,*sentir*,"*feel*
verb: feel, sense, regret"


31,*tenías* (tener),"*you had*
verb: have, keep, own"


32,*pude* (poder),"*could*
verb: be able to, can, may"


33,*darle* (dar),"*give him*
"


34,*voz*,"*voice*
noun: voice, word, vocals"


35,*amiga*,"*friend*
noun: female friend, lady"


36,*gustan* (gustar),"*like*
verb: like, taste, love"


37,*vista* (vista ver),"*view*
noun: view, sight, vision"


38,*salvo* (salvo salvar),"*except*
preposition: except, save, but
conjunction: except for"


39,*loca* (loco),"*crazy*
adjective: crazy, mad, out of one's mind
noun: madman, zany, half-wit"


40,*hotel*,"*hotel*
noun: hotel, guesthouse, palace"


41,*hicieron* (hacer),"*they made*
verb: do, make, ask"


42,*ten* (tener),"*have*
verb: have, keep, own"


43,*temo* (temer),"*I fear*
verb: fear, dread, apprehend"


44,*señal*,"*sign*
noun: signal, mark, bookmark"


45,*pelo* (pelo pelar),"*hair*
noun: hair, pile, coat"


46,*llevo* (llevar),"*he took*
verb: carry, take, bring"


47,*ayer*,"*yesterday*
adverb: yesterday
noun: yesterday"


48,*das* (dar),"*you give*
verb: give, yield, lend"


