,Spanish,Quizlet


0,*terminará* (terminar),"*will finish*
verb: end, finish, complete"


1,*llenar*,"*fill*
verb: fill, fill out, fill up"


2,*líderes* (líder),"*leaders*
noun: leader"


3,*ganan* (ganar),"*win*
verb: win, earn, gain"


4,*fingir*,"*pretend*
verb: pretend, fake, feign"


5,*estrategia*,"*strategy*
noun: strategy, strategics, set piece"


6,*dirán* (decir),"*they will say*
verb: say, tell, speak"


7,*confías* (confiar),"*you trust*
verb: trust, rely, entrust"


8,*cómoda* (cómoda cómodo),"*comfortable*
noun: commode, bureau"


9,*comience* (comenzar),"*begin*
verb: start, begin, commence"


10,*cenizas* (ceniza),"*ashes*
noun: ash, cinder, calx"


11,*capaces* (capaz),"*able*
adjective: able, capable, competent"


12,*temía* (temer),"*feared*
verb: fear, dread, apprehend"


13,*sonríe* (sonreír),"*smile*
verb: smile, grin"


14,*quite* (quitar),"*remove*
noun: parry"


15,*necesites* (necesitar),"*you need*
verb: need, require, take"


16,*mostrarle* (mostrar),"*show him*
"


17,*mordió* (morder),"*bit*
verb: bite, bite into, nibble"


18,*jefa*,"*boss*
noun: head, chief, boss"


19,*fallo* (fallo fallar),"*failed*
noun: failure, ruling, judgment"


20,*empiezan* (empezar),"*begin*
verb: start, begin, get"


21,*dispositivo*,"*device*
noun: device, appliance, mechanism"


22,*detesto* (detestar),"*I hate*
noun: hate, hatred"


23,*aprendiste* (aprender),"*you learned*
verb: learn, pick up, acquire"


24,*aman* (amar),"*love*
verb: love"


25,*agradecido* (agradecido agradecer),"*grateful*
adjective: grateful, thankful, appreciative"


26,*agáchate* (agachar),"*get down*
"


27,*terminaste* (terminar),"*You finished*
verb: end, finish, complete"


28,*sida* (SIDA),"*AIDS*
abbreviation: AIDS"


29,*mueras* (morir),"*die*
verb: die, kill, die out"


30,*mentí* (mentir),"*i lied*
verb: lie, tell a lie, prevaricate"


31,*lujo*,"*luxury*
noun: luxury, luxe, lushness"


32,*láser*,"*laser*
noun: laser"


33,*importe* (importe importar),"*amount*
noun: amount"


34,*físico*,"*physical*
adjective: physical, material
noun: physicist, physique"


35,*caes* (caer),"*you fall*
verb: fall, drop, fall down"


36,*tiros* (tiro),"*shooting*
noun: shooting"


37,*miran* (mirar),"*they watch*
verb: look, look at, watch"


38,*hadas* (hada),"*fairies*
noun: fairy, sprite"


39,*ganancias* (ganancia),"*Profits*
noun: earnings, winnings, proceeds"


40,*fritas* (frito),"*fries*
adjective: fried, pan-fried"


41,*fantasía*,"*fancy*
noun: fantasy, fantasia, fancy"


42,*deténgase* (detener),"*Stop*
phrase: Stop"


43,*déjenlo* (dejar),"*leave it*
"


44,*curar*,"*cure*
verb: cure, heal, treat"


45,*comidas* (comida comido comer),"*foods*
noun: feeding"


46,*quisiste* (querer),"*did you want*
verb: want, love, wish"


47,*pacífico*,"*peaceful*
adjective: Pacific, peaceful, peaceable"


48,*oler*,"*smell*
verb: smell, sniff, scent"


