,Spanish,Quizlet


0,*trataron* (tratar),"*they tried*
verb: treat, process, try on"


1,*tardará* (tardar),"*it will take*
verb: delay, be slow, linger"


2,*sábanas* (sábana),"*bed sheets*
"


3,*polo*,"*pole*
noun: pole, polo, polo shirt"


4,*podia* (poder),"*could*
verb: be able to, can, may"


5,*perspectiva*,"*perspective*
noun: perspective, prospect, outlook"


6,*papás* (papá),"*potatoes*
noun: chip"


7,*ministerio*,"*ministry*
noun: ministry, office, department"


8,*gesto* (gesto gestar),"*gesture*
noun: gesture, sign, face"


9,*fumando* (fumar),"*smoking*
verb: smoke"


10,*disfrutando* (disfrutar),"*enjoying*
verb: enjoy, delight, bask"


11,*debas* (deber),"*you must*
verb: must, owe, job"


12,*culpar*,"*to blame*
verb: blame, accuse, incriminate"


13,*atreve* (atrever),"*dare*
"


14,*arriesgar*,"*risk*
verb: risk, jeopardize, hazard"


15,*arabia* (Arabia arabio),"*arabia*
"


16,*vital*,"*vital*
adjective: vital, life"


17,*túneles* (túnel),"*tunnels*
noun: tunnel"


18,*transferencia*,"*transfer*
noun: transfer, transference"


19,*suicidó* (suicidar),"*committed suicide*
"


20,*sucios* (sucio),"*dirty*
adjective: dirty, unclean, grubby"


21,*seguida* (en seguida seguido seguir),"*followed*
noun: normal way, proper rhythm, habitual speed"


22,*regresamos* (regresar),"*we came back*
verb: return, go back, come back"


23,*recibirá* (recibir),"*will receive*
verb: receive, get, welcome"


24,*oculto* (oculto ocultar),"*hidden*
adjective: hidden, occult, unseen"


25,*honorable*,"*honorable*
adjective: honorable, worshipful, honourable"


26,*hmm*,"*hmm*
"


27,*generaciones* (generación),"*generations*
noun: generation"


28,*escolar*,"*school*
adjective: school, academic, academical
noun: scholastic, schoolboy"


29,*dámela* (dar),"*give it to me*
"


30,*controlado* (controlado controlar),"*checked*
adjective: checked, sparing"


31,*constantemente*,"*constantly*
adverb: constantly, continually, forever"


32,*cheques* (cheque),"*checks*
noun: check, cheque"


33,*bromeo* (bromear),"*I kid*
verb: joke, banter, jest"


34,*australia* (Australia),"*Australia*
noun: Australia"


35,*asegurarnos* (asegurar),"*make sure*
"


36,*apetito*,"*appetite*
noun: appetite, relish"


37,*vivió* (vivir),"*lived*
verb: live, live on, reside"


38,*vías* (vía),"*pathways*
noun: track, way, line"


39,*piden* (pedir),"*they ask*
verb: ask, request, ask for"


40,*órbita*,"*orbit*
noun: orbit, socket, path"


41,*manzanas* (manzana),"*apples*
noun: apple, block, square"


42,*interesantes* (interesante),"*interesting*
adjective: interesting, intriguing, cool"


43,*herir*,"*hurt*
verb: hurt, injure, wound"


44,*exámenes* (examen),"*exams*
noun: examination, review, exam"


45,*enfadada* (enfadado enfadar),"*angry*
adjective: angry, cross, vexed"


46,*cuadras* (cuadra),"*blocks*
noun: riding stables"


47,*cometí* (cometer),"*I committed*
verb: commit, make, foul"


48,*colorado* (colorado colorar),"*Colorado*
adjective: red, colored, scarlet"


