,Spanish,QuizletFinal


0,*abajo*,"*below*
adverb: below, down, downstairs.
Abajo hay una cafetería. Downstairs there is a cafeteria."


1,*dr* (doctor),"*dr*
.
""El Dr. García es un médico muy respetado."" - ""Dr. García is a very respected doctor."""


2,*hija*,"*daughter*
noun: daughter
abbreviation: d..
Mi hija es mi luz en la vida. - My daughter is my light in life."


3,*dejar*,"*leave*
verb: leave, let, stop.
Dejé el libro en la mesa. - I left the book on the table."


4,*necesita* (necesitar),"*needs*
verb: need, require, take.
""Él necesita un abrigo para el invierno.""
He needs a coat for the winter."


5,*llegar*,"*arrive*
verb: get, reach, arrive.
""Llegué tarde al trabajo."" - I arrived late to work."


6,*hago* (hacer),"*do*
verb: do, make, ask.
Hago la tarea. = I do my homework."


7,*señora*,"*lady*
noun: lady, madam, mistress
abbreviation: Mrs., Ms..
La señora es muy amable. - The lady is very kind."


8,*haya* (haber haya),"*is*
noun: beech, beech tree.
""Ojalá haya paz en el mundo."" - ""Hopefully there is peace in the world."""


9,*suficiente*,"*enough*
adjective: enough, sufficient, adequate
adverb: enough, sufficiently, plenty of
noun: D.
""Tiene suficiente para comer."" - He has enough to eat."


10,*doctor*,"*doctor*
noun: doctor, doc.
""El doctor es muy inteligente."" - The doctor is very intelligent."


11,*gustaría* (gustar),"*would like*
verb: like, taste, love.
""Me gustaría ir a la playa."" - I would like to go to the beach."


12,*tierra*,"*land*
noun: land, earth, ground.
""La tierra es nuestro hogar."" - The earth is our home."


13,*cara*,"*expensive*
noun: face, side, look.
""Ella tiene una cara bonita"" - She has a pretty face."


14,*siquiera*,"*even*
adverb: at least
conjunction: though.
""No siquiera sé cómo llegué aquí."" - I don't even know how I got here."


15,*genial*,"*brilliant*
adjective: brilliant, genial, masterly.
""Este lugar es genial!"" - ""This place is great!"""


16,*cree* (creer),"*believe*
verb: create, make, set up.
Él cree que todo es posible. He believes that anything is possible."


17,*supuesto* (suponer),"*supposed*
adjective: supposed, pretended, so-called
noun: think, postulation.
""Supuesto que sí, voy a ir."" Translation: ""Supposedly yes, I'm going to go."""


18,*tomar*,"*take*
verb: take, have, drink.
Tomé un café con leche esta mañana. - I had a coffee with milk this morning."


19,*equipo* (equipo equipar),"*equipment*
noun: team, equipment, crew.
""El equipo ganó el partido."" - The team won the game."


20,*justo*,"*fair*
adjective: just, right, righteous
adverb: just, bang.
""Justo ahora estoy aprendiendo español."" - ""I'm just learning Spanish now."""


21,*juego* (juego jugar),"*game*
noun: game, play, set.
""A mi me gusta jugar al juego de cartas."" - I like to play card games."


22,*ninguna* (ninguno),"*none*
adjective: no, neither, whatever.
Ninguna persona estaba en la sala.
Nobody was in the room."


23,*matar*,"*kill*
verb: kill, slay, murder.
""Él mató a una araña con un zapato."" - He killed a spider with a shoe."


24,*cinco*,"*five*
noun: five
: five.
""Tengo cinco hermanos."" - I have five siblings."


25,*dicen* (decir),"*they say*
verb: say, tell, speak.
""Dicen que el cielo es el límite."" - They say the sky is the limit."


26,*amo* (amo amar),"*love*
noun: owner, householder.
""Amo el helado."" - I love ice cream."


