,Spanish,Quizlet


0,*dormida* (dormido dormir),"*asleep*
verb: sleep, slumber, doze"


1,*costó* (costar),"*cost*
noun: cost, charge"


2,*causar*,"*cause*
verb: cause, inflict, bring about"


3,*temer*,"*fear*
verb: fear, dread, apprehend"


4,*subiendo* (subir),"*going up*
verb: upload, rise, go up"


5,*rollo*,"*roll*
noun: roll, reel, coil"


6,*hechizo* (hechizo hechizar),"*spell*
noun: spell, charm, magic"


7,*gusano*,"*worm*
noun: worm, maggot, caterpillar"


8,*guau*,"*Wow*
noun: woof"


9,*grupos* (grupo),"*groups*
noun: group, band, set"


10,*discos* (disco),"*discs*
noun: disk, disc, record"


11,*despierte* (despertar),"*wake up*
verb: wake, awaken, arouse"


12,*ocurriendo* (ocurrir),"*happening*
verb: occur, happen, take place"


13,*horario*,"*schedule*
noun: schedule, timetable, hour hand
adjective: horary"


14,*expedientes* (expediente),"*files*
noun: record, file, proceedings"


15,*envié* (enviar),"*I sent*
verb: send, post, ship"


16,*dibujos* (dibujo),"*drawings*
noun: graphics"


17,*concurso*,"*contest*
noun: competition, contest, concourse"


18,*autopista*,"*highway*
noun: motorway, highway, freeway"


19,*atacó* (atacar),"*attacked*
verb: attack, strike, tackle"


20,*vendedor*,"*seller*
noun: seller, vendor, salesman"


21,*sigas* (seguir),"*follow*
verb: follow, continue, keep"


22,*rebeldes* (rebelde),"*rebels*
noun: rebel, insurgent
adjective: rebellious, insurgent, refractory"


23,*radar*,"*Radar*
noun: radar"


24,*expresión*,"*expression*
noun: expression, phrase, phrasing"


25,*escuchan* (escuchar),"*they listen*
verb: listen, hear, listen to"


26,*use* (usar),"*use*
verb: use, wear, utilize"


27,*resultó* (resultar),"*turned out*
verb: result, prove"


28,*principe* (príncipe),"*the prince*
noun: prince"


29,*hágalo* (hacer),"*do it*
"


30,*exposición*,"*exposure*
noun: exposure, exhibition, exposition"


31,*demasiadas* (demasiado),"*too many*
"


32,*cuidando* (cuidar),"*taking care of*
verb: care, look after, tend"


33,*aterrizaje*,"*landing*
noun: landing, touchdown, alighting"


34,*apetece* (apetecer),"*fancy*
verb: crave, desiderate, love"


35,*tomaron* (tomar),"*they took*
verb: take, have, drink"


36,*sorprendente*,"*amazing*
adjective: surprising, astonishing, astounding"


37,*responda* (responder),"*answer*
verb: respond, answer, reply"


38,*olvidaste* (olvidar),"*you forgot*
verb: forget, neglect, leave"


39,*lobos* (lobo),"*Wolves*
noun: wolf, lupus"


40,*echado* (echado echar),"*lying*
adjective: lying, laid, lazy"


41,*deberias* (deber),"*you should*
verb: must, owe, job"


42,*cortado* (cortado cortar),"*chopped up*
adjective: cut, disengaged, clipped"


43,*citas* (cita),"*quotes*
noun: appointment, quote, date"


44,*abiertos* (abierto abrir),"*open*
adjective: open, opened, direct"


45,*zapato*,"*shoe*
noun: shoe, beetle crusher"


46,*preso*,"*prisoner*
noun: prisoner, inmate"


47,*lastimar*,"*hurt*
verb: hurt, injure, shock"


