,Spanish,Quizlet


0,*batería*,"*battery*
noun: battery, drums, drummer"


1,*visual*,"*visual*
adjective: visual"


2,*reconoce* (reconocer),"*recognize*
verb: recognize, acknowledge, admit"


3,*pedimos* (pedir),"*we ask*
verb: ask, request, ask for"


4,*niebla*,"*fog*
noun: fog, mist"


5,*métodos* (método),"*methods*
noun: inscription"


6,*durmió* (dormir),"*slept*
verb: sleep, slumber, doze"


7,*desfile* (desfile desfilar),"*parade*
noun: parade, procession, march-past"


8,*creciendo* (crecer),"*growing*
verb: grow, grow up, increase"


9,*continua* (continuo continuar),"*keep going*
adjective: continuous, continuing, continual"


10,*borracha* (borracho),"*drunk*
adjective: drunk, drunken, boozy
noun: drunkard, alcoholic, boozer"


11,*beca*,"*scholarship*
noun: scholarship, grant, bursary"


12,*adolescente*,"*Teen*
noun: teenager, teen, adolescent
adjective: adolescent"


13,*actos* (acto),"*acts*
noun: doings"


14,*mágica* (mágico),"*magical*
adjective: magical, magic, fairy"


15,*imbéciles* (imbécil),"*imbeciles*
noun: moron, imbecile, fool
adjective: imbecile, idiotic, silly"


16,*huyendo* (huir),"*running away*
verb: escape, run away, run"


17,*fotógrafo*,"*photographer*
noun: photographer"


18,*experimentos* (experimento),"*experiments*
noun: experiment, experimentation"


19,*edificios* (edificio),"*buildings*
noun: building, premises, place"


20,*deténganse* (detener),"*stop*
"


21,*cálmense* (calmar),"*calm down*
"


22,*atmósfera*,"*atmosphere*
noun: atmosphere"


23,*acabaron* (acabar),"*finished*
verb: end, finish, complete"


24,*votos* (voto),"*votes*
noun: votes"


25,*tareas* (tarea),"*tasks*
noun: task, job, homework"


26,*presupuesto*,"*budget*
noun: budget, estimate, presupposition"


27,*persecución*,"*persecution*
noun: persecution, pursuit, chase"


28,*enseñarle* (enseñar),"*teach him*
"


29,*enfermos* (enfermo),"*sick*
noun: sick"


30,*cortes* (corte cortar),"*cuts*
adjective: courteous, polite, gracious"


31,*contaste* (contar),"*did you count*
verb: count, tell, reckon"


32,*recuerdan* (recordar),"*remember*
verb: remember, recall, remind"


33,*probabilidades* (probabilidad),"*odds*
noun: probability, likelihood, potluck"


34,*núcleo*,"*core*
noun: core, nucleus, kernel"


35,*multitud*,"*crew*
noun: crowd, multitude, mob"


36,*moriré* (morir),"*I will die*
verb: die, kill, die out"


37,*empresas* (empresa),"*companies*
noun: company, business, enterprise"


38,*delta*,"*delta*
noun: delta"


39,*asociación*,"*association*
noun: association, partnership, society"


40,*verdes* (verde),"*green*
adjective: green, verdant, greeny
noun: green"


41,*profesión*,"*profession*
noun: profession, occupation, career"


42,*pelotón*,"*platoon*
noun: platoon, squad, posse"


43,*paro* (paro parar),"*unemployment*
noun: arrest, strike, stoppage"


44,*largos* (largo),"*long*
adjective: long, lengthy, dilatory
noun: length, largo"


45,*danos* (dar),"*damage*
"


46,*creído* (creído creer),"*believed*
adjective: hoped, inclined, gullible"


47,*cosecha* (cosecha cosechar),"*harvest*
noun: harvest, crop, harvesting"


