,Spanish,Quizlet


0,*pecado* (pecado pecar),"*sin*
noun: sin, sinfulness, trespass"


1,*mortal*,"*mortal*
adjective: mortal, deadly, fatal
noun: mortal
adverb: mortally"


2,*manda* (mandar manda),"*command*
verb: send, command, order"


3,*claramente*,"*clearly*
adverb: clearly, clear, plainly"


4,*vía*,"*via*
preposition: via
noun: track, way, line"


5,*juntas* (junta juntar),"*together*
adjective: together"


6,*identificación*,"*ID*
abbreviation: ID
noun: identification, detection"


7,*dirige* (dirigir),"*directs*
verb: direct, lead, address"


8,*declaración*,"*statement*
noun: statement, declaration, return"


9,*alemán*,"*German*
adjective: German
noun: German, Jerry"


10,*tontos* (tonto),"*Fools*
adjective: silly, fool, foolish
noun: silly, fool, stupid"


11,*mantiene* (mantener),"*maintains*
verb: maintain, keep, hold"


12,*bestia*,"*beast*
noun: beast, animal, brute"


13,*veneno*,"*poison*
noun: venom"


14,*vecinos* (vecino),"*neighbors*
adjective: neighbor, neighboring, next
noun: neighbor, resident, local"


15,*supiera* (saber),"*knew*
verb: know, realize, taste"


16,*quieran* (querer),"*want*
verb: want, love, wish"


17,*salgo* (salir),"*I'm on my way out*
verb: leave, get out, go out"


18,*propias* (propio),"*own*
adjective: own, proper, individual"


19,*privada* (privado),"*private*
adjective: private, deprived, personal"


20,*jurado* (jurado jurar),"*jury*
noun: jury, panel, juryman"


21,*golpes* (golpe),"*hits*
noun: knocking, bangs"


22,*usan* (usar),"*use*
verb: use, wear, utilize"


23,*metas* (meta meter),"*goals*
noun: goal, aim, finish"


24,*garganta*,"*throat*
noun: throat, gorge, neck"


25,*invierno*,"*winter*
noun: winter, winter-tide"


26,*fila*,"*row*
noun: row, line, rank"


27,*miel*,"*Honey*
noun: honey"


28,*traigan* (traer),"*bring*
verb: bring, bring in, get"


29,*sucedido* (sucedido suceder),"*happened*
verb: happen, occur, come about"


30,*tranquilos* (tranquilo),"*quiet*
adjective: quiet, tranquil, peaceful"


31,*madera*,"*wood*
noun: wood, timber, duramen"


32,*burro*,"*donkey*
noun: donkey, burro, ass"


33,*artista*,"*artist*
noun: artist, performer, entertainer"


34,*pobres* (pobre),"*poor*
noun: have-nots"


35,*impresión*,"*impression*
noun: print, printing, impression"


36,*ganó* (ganar),"*won*
verb: win, earn, gain"


37,*cruzar*,"*cross*
verb: cross, walk across, traverse"


38,*cigarrillos* (cigarrillo),"*cigarettes*
noun: cigarette"


39,*ó*,"*either*
conjunction: or, either"


40,*llevarme* (llevar),"*take me*
"


41,*grial*,"*grail*
"


42,*chaqueta*,"*jacket*
noun: jacket, coat, coatee"


43,*alcalde*,"*mayor*
noun: mayor"


44,*vueltas* (vuelta volver),"*laps*
noun: facings"


45,*usado* (usar usado),"*used*
adjective: used, old, secondhand
noun: ole"


46,*reputación*,"*reputation*
noun: reputation, repute, standing"


47,*pongas* (poner),"*put*
verb: put, add, place"


48,*oxígeno*,"*oxygen*
noun: oxygen"


