,Spanish,Quizlet


0,*manejando* (manejar),"*driving*
verb: handle, manage, drive"


1,*lola* (lola lolo Lola),"*lola*
"


2,*lentes* (lente lentes),"*glasses*
noun: lenses, glasses, eyeglasses"


3,*engañar*,"*cheat*
verb: deceive, fool, cheat"


4,*cállense* (callar),"*shut up*
"


5,*bate* (bate batir),"*bat*
noun: bat"


6,*automático*,"*automatic*
adjective: automatic, automatical, self-acting
noun: snap, snap fastener"


7,*tuyas* (tuyo),"*yours*
pronoun: yours, thine"


8,*quedarás* (quedar),"*you will stay*
verb: stay, remain, keep"


9,*profunda* (profundo),"*deep*
adjective: deep, profound, intimate"


10,*piensen* (pensar),"*think*
verb: think, reflect, ponder"


11,*permiten* (permitir),"*allow*
verb: allow, enable, permit"


12,*heredero*,"*heir*
adjective: heir
noun: heir, inheritor, heritor"


13,*entraron* (entrar),"*they entered*
verb: enter, get in, come in"


14,*canadá* (Canadá),"*Canada*
noun: Canada"


15,*caminos* (camino),"*roads*
noun: way, road, path"


16,*sintió* (sentir),"*felt*
verb: feel, sense, regret"


17,*robé* (robar),"*I stole*
verb: steal, rob, draw"


18,*porno*,"*for not*
"


19,*lejano*,"*far*
adjective: far, distant, remote"


20,*intercambio* (intercambio intercambiar),"*exchange*
noun: exchange, interchange, swap"


21,*hojas* (hoja),"*leaves*
noun: sheet, leaf, blade"


22,*dispare* (disparar),"*shoot*
verb: shoot, fire, discharge"


23,*cuan*,"*how*
"


24,*champaña*,"*champagne*
noun: champagne, bubbly"


25,*atractiva* (atractivo),"*attractive*
adjective: attractive, sexy, appealing"


26,*terminal*,"*terminal*
adjective: terminal
noun: terminal"


27,*rita* (rito Rita),"*rita*
"


28,*poesía*,"*poetry*
noun: poetry, poem, verse"


29,*pierda* (perder),"*lose*
verb: lose, miss, waste"


30,*expertos* (experto),"*experts*
noun: cognoscenti"


31,*ensalada*,"*salad*
noun: salad"


32,*convertir*,"*convert*
verb: convert, turn, transform"


33,*calientes* (caliente),"*hot*
adjective: hot, warm, heated"


34,*autopsia*,"*autopsy*
noun: autopsy, postmortem, postmortem examination"


35,*tristeza*,"*sadness*
noun: sadness, sorrow, gloom"


36,*tiendas* (tienda tender),"*stores*
noun: store, shop, tent"


37,*mafia*,"*mafia*
noun: mafia"


38,*jodas* (joder),"*fuck*
verb: fuck, screw, fuck up"


39,*escuchó* (escuchar),"*I'm listening*
verb: listen, hear, listen to"


40,*enormes* (enorme),"*huge*
adjective: huge, enormous, massive"


41,*denme* (dar),"*give me*
"


42,*atacaron* (atacar),"*attacked*
verb: attack, strike, tackle"


43,*almacén*,"*store*
noun: store, warehouse, storehouse"


44,*sufrió* (sufrir),"*suffered*
verb: suffer, experience, sustain"


45,*productos* (producto),"*products*
noun: produce"


46,*productor*,"*producer*
noun: producer
adjective: producing"


47,*permitido* (permitido permitir),"*permitted*
adjective: permitted"


48,*pegó* (pegar),"*hit*
verb: paste, stick, glue"


49,*matarla* (matar),"*kill her*
"


