,Spanish,Quizlet


0,*oyendo* (oír),"*hearing*
verb: hear, listen, overhear"


1,*mordida* (mordida mordido morder),"*bite*
noun: bite, kickback"


2,*mmm*,"*Hmm*
"


3,*miró* (mirar),"*I look*
verb: look, look at, watch"


4,*marchar*,"*to March*
verb: march, go, walk"


5,*mantequilla*,"*butter*
noun: butter"


6,*guardián*,"*guardian*
noun: guardian, keeper, custodian"


7,*escándalo*,"*scandal*
noun: scandal, fuss, outrage"


8,*causó* (causar),"*caused*
verb: cause, inflict, bring about"


9,*aléjense* (alejar),"*stay away*
"


10,*acercando* (acercar),"*approaching*
verb: bring closer, bring near, draw near"


11,*vió* (ver),"*saw*
verb: see, view, watch"


12,*tinta* (tinta tinto),"*ink*
noun: ink, drawing ink, ceruse"


13,*sindicato*,"*labor union*
noun: union, trade union, syndicate"


14,*reuniones* (reunión),"*meetings*
noun: meeting, reunion, gathering"


15,*pida* (pedir),"*ask*
verb: ask, request, ask for"


16,*personajes* (personaje),"*characters*
noun: character, personage, very important person"


17,*lees* (leer),"*you read*
verb: read"


18,*dispuesta* (dispuesto disponer),"*willing*
adjective: ready, disposed, prepared"


19,*descripción*,"*description*
noun: description, depiction, explanation"


20,*calzones* (calzón),"*breeches*
noun: breeches, pants, shorts"


21,*brigada*,"*brigade*
noun: brigade, gang"


22,*ayudaría* (ayudar),"*would help*
verb: help, assist, aid"


23,*repugnante*,"*disgusting*
adjective: disgusting, repugnant, nasty"


24,*odiaba* (odiar),"*I hated*
verb: hate, loathe, detest"


25,*misa*,"*mass*
noun: mass"


26,*metrópolis* (metrópolis metrópoli),"*metropolis*
noun: metropolis"


27,*meterme* (meter),"*get in*
"


28,*mamita*,"*mommy*
noun: mammy"


29,*jamón*,"*ham*
noun: ham"


30,*ésos* (ese esos),"*those*
pronoun: those"


31,*cazadores* (cazador),"*hunters*
noun: hunter, huntsman, shooter"


32,*usarla* (usar),"*use it*
"


33,*retraso* (retraso retrasar),"*delay*
noun: delay, retardation, lag"


34,*responsabilidades* (responsabilidad),"*responsibilities*
noun: responsibility, liability, accountability"


35,*preocupas* (preocupar),"*you worry*
verb: worry, concern, trouble"


36,*pagando* (pagar),"*paying*
verb: pay, pay for, repay"


37,*linterna*,"*flashlight*
noun: lantern, torch, lamp"


38,*inevitable*,"*inevitable*
adjective: inevitable, unavoidable, inescapable"


39,*encender*,"*light*
verb: turn on, ignite, switch on"


40,*distinta* (distinto),"*different*
adjective: different, distinct, separate"


41,*compro* (comprar),"*bought*
verb: buy, purchase, get"


42,*cacería*,"*hunting*
noun: hunting, hunt, shoot"


43,*atacan* (atacar),"*they attack*
verb: attack, strike, tackle"


44,*usaba* (usar),"*used*
verb: use, wear, utilize"


45,*parientes* (pariente),"*relatives*
noun: kin, kindred, kinfolk"


46,*menores* (menor),"*minors*
adjective: less, smaller, minor
noun: minor, junior, juvenile"


47,*jungla*,"*jungle*
noun: jungle"


