,Spanish,Quizlet


0,*carajos* (carajo),"*damn*
noun: dick, prick, cock"


1,*vería* (ver),"*would see*
verb: see, view, watch"


2,*seca* (seco secar),"*dry*
adjective: dried, dry, dead"


3,*recibiendo* (recibir),"*receiving*
verb: receive, get, welcome"


4,*pescar*,"*fishing*
verb: fish, catch, hook"


5,*olvidas* (olvidar),"*you forget*
verb: forget, neglect, leave"


6,*naciones* (nación),"*nations*
noun: nation, people, folk"


7,*llevara* (llevar),"*carry*
verb: carry, take, bring"


8,*graciosa* (gracioso),"*funny*
adjective: funny, graceful, gracious"


9,*emergencias* (emergencia),"*emergencies*
noun: emergency"


10,*conviene* (convenir),"*it suits*
verb: agree, suit, arrange"


11,*comunicaciones* (comunicación),"*communications*
noun: communication, message, announcement"


12,*caí* (caer),"*i fell*
verb: fall, drop, fall down"


13,*ocuparé* (ocupar),"*I will occupy*
verb: occupy, fill, take"


14,*niñita*,"*little girl*
noun: toddler"


15,*hazte* (hacer),"*make yourself*
"


16,*estupenda* (estupendo),"*great*
adjective: great, super, wonderful"


17,*disciplina*,"*discipline*
noun: discipline, orderliness"


18,*case* (casar),"*case*
verb: marry, wed, marry off"


19,*arriesgado* (arriesgado arriesgar),"*risky*
adjective: risky, hazardous, dangerous"


20,*arquitecto*,"*architect*
noun: architect"


21,*vaticano* (Vaticano),"*Vatican*
noun: Vatican"


22,*traerme* (traer),"*bring me*
"


23,*tiroteo*,"*shooting*
noun: gunfire"


24,*sirvo* (servir),"*I serve*
verb: serve, help, do"


25,*sentirás* (sentir),"*you will feel*
verb: feel, sense, regret"


26,*ratón*,"*mouse*
noun: mouse"


27,*quitarme* (quitar),"*take me away*
"


28,*quedaba* (quedar),"*remained*
verb: stay, remain, keep"


29,*preguntan* (preguntar),"*they ask*
verb: ask, inquire, question"


30,*permíteme* (permitir),"*allow me*
"


31,*masacre*,"*slaughter*
noun: massacre"


32,*infancia*,"*childhood*
noun: childhood, infancy, babyhood"


33,*indio*,"*Indian*
adjective: Indian
noun: Indian, Red Indian"


34,*homosexual*,"*homosexual*
"


35,*chance*,"*chance*
noun: chance, opportunity"


36,*barba*,"*beard*
noun: beard, chin, whiskers"


37,*artes* (arte),"*Arts*
noun: art, craft, artistry"


38,*acerque* (acercar),"*approach*
verb: bring closer, bring near, draw near"


39,*susto*,"*scare*
noun: scare, fright, terror"


40,*síntomas* (síntoma),"*symptoms*
noun: symptom, sign, trace"


41,*salvarte* (salvar),"*save you*
"


42,*sabio*,"*sage*
adjective: wise, sage, learned
noun: sage, savant, guru"


43,*romance*,"*Romance*
adjective: Romance
noun: ballad, Romanic"


44,*petición*,"*petition*
noun: request, demand, petition"


45,*peligrosos* (peligroso),"*dangerous*
adjective: dangerous, hazardous, perilous"


46,*orinar*,"*pee*
verb: urinate, make water, micturate
phrase: pass water"


47,*macho*,"*male*
adjective: male, butch, bully
noun: male, macho, plug"


48,*llevarse* (llevar),"*carry off*
verb: get, take away, win"


