,Spanish,Quizlet


0,*girar*,"*spin*
verb: turn, rotate, spin"


1,*extraterrestre*,"*alien*
adjective: extraterrestrial, otherworldly
noun: alien"


2,*egipto* (Egipto),"*Egypt*
noun: Egypt"


3,*canciller*,"*chancellor*
noun: chancellor"


4,*valores* (valor),"*values*
noun: values, securities, stock"


5,*recibiste* (recibir),"*did you receive*
verb: receive, get, welcome"


6,*quítense* (quitar),"*take off*
"


7,*protocolo*,"*protocol*
noun: protocol"


8,*preocuparme* (preocupar),"*worry*
"


9,*pacto* (pacto pactar),"*covenant*
noun: covenant, pact, agreement"


10,*módulo*,"*module*
noun: module, modulus"


11,*inteligentes* (inteligente),"*smart*
adjective: intelligent, smart, clever"


12,*imaginaba* (imaginar),"*imagined*
verb: imagine, think, figure"


13,*huracán*,"*hurricane*
noun: hurricane"


14,*dejaba* (dejar),"*left*
verb: leave, let, stop"


15,*canales* (canal),"*channels*
noun: channel, canal, trough"


16,*buscaremos* (buscar),"*we will search*
verb: search, search for, look"


17,*botellas* (botella),"*bottles*
noun: bottle"


18,*billones* (billón),"*trillions*
"


19,*atraparlo* (atrapar),"*catch it*
"


20,*arrestar*,"*arrest*
verb: arrest"


21,*acento*,"*accent*
noun: accent"


22,*accidentes* (accidente),"*accidents*
noun: accident, wreck, mishap"


23,*vientre*,"*belly*
noun: belly, stomach, abdomen"


24,*tomaría* (tomar),"*it would take*
verb: take, have, drink"


25,*timón*,"*rudder*
noun: rudder, helm, wheel"


26,*tabla*,"*board*
noun: table, chart, board"


27,*sacando* (sacar),"*taking out*
verb: take, get, draw"


28,*pintar*,"*paint*
verb: paint, color, depict"


29,*particularmente*,"*particularly*
adverb: particularly, in particular, specially"


30,*palma* (palma palmar),"*palm*
noun: palm, palm leaf"


31,*organizar*,"*organize*
verb: organize, arrange, host"


32,*llevarán* (llevar),"*will carry*
verb: carry, take, bring"


33,*llamaría* (llamar),"*would call*
verb: call, get, knock"


34,*irlandés*,"*Irish*
adjective: Irish, Hibernian, Milesian
noun: Irish, Irishman, Hibernian"


35,*esperes* (esperar),"*wait*
verb: wait, expect, wait for"


36,*crecí* (crecer),"*I grew up*
verb: grow, grow up, increase"


37,*as*,"*ace*
noun: ace"


38,*agarró* (agarrar),"*grab*
noun: grab, grasp, hold"


39,*voluntario*,"*volunteer*
adjective: voluntary, self-inflicted
noun: volunteer"


40,*vivirá* (vivir),"*will live*
verb: live, live on, reside"


41,*vigilar*,"*look out*
verb: watch, guard, watch over"


42,*vestíbulo*,"*lobby*
noun: lobby, vestibule, hall"


43,*soltar*,"*release*
verb: drop, release, loosen"


44,*siguientes* (siguiente),"*following*
adjective: following, after, incoming"


45,*residentes* (residente),"*residents*
noun: town"


46,*leíste* (leer),"*did you read*
verb: read"


47,*hacha*,"*axe*
noun: ax, hatchet, chopper"


48,*felicito* (felicitar),"*I congratulate*
verb: congratulate, felicitate"


49,*enojar*,"*anger*
verb: anger, annoy, displease"


