,Spanish,Quizlet


0,*pasaporte*,"*passport*
noun: passport"


1,*extraños* (extraño),"*strangers*
adjective: strange, weird, odd
noun: alien"


2,*ciento*,"*hundred*
noun: hundred
: one hundred"


3,*afortunado*,"*lucky*
adjective: lucky, fortunate, happy"


4,*sacó* (sacar),"*coat*
noun: sack, bag, sac"


5,*irán* (ir),"*Iran*
noun: Iran"


6,*sacerdote*,"*priest*
noun: priest, churchman, parson"


7,*pedirle* (pedir),"*ask him*
"


8,*impuestos* (impuesto imponer),"*taxes*
noun: taxation"


9,*crisis*,"*crisis*
noun: crisis, emergency, depression"


10,*aventura*,"*adventure*
noun: adventure, venture, affair"


11,*puestos* (puesto poner),"*stalls*
noun: post, position, place
adjective: established, landed, laid"


12,*pánico*,"*panic*
adjective: panic
noun: panic, scare"


13,*llames* (llamar),"*call*
verb: call, get, knock"


14,*ladrones* (ladrón),"*thieves*
noun: thief, robber, burglar"


15,*enseñó* (enseñar),"*taught*
"


16,*logramos* (lograr),"*we achieved*
verb: achieve, accomplish, get"


17,*estuvieron* (estar),"*they were*
verb: be, stay, stand"


18,*últimas* (último),"*latest*
adjective: last, latest, latter"


19,*página*,"*page*
noun: page"


20,*metro*,"*meter*
noun: metro, meter, subway
abbreviation: m"


21,*alla* (allá),"*there*
adverb: there, thither, yonder"


22,*pudieron* (poder),"*could*
verb: be able to, can, may"


23,*mostrar*,"*show*
verb: show, display, exhibit"


24,*escribe* (escribir),"*writes*
verb: write, spell, write out"


25,*ventaja*,"*advantage*
noun: advantage, benefit, vantage"


26,*enamorada* (enamorado enamorar),"*in love*
adjective: in love, enamored, enamoured
noun: admirer, valentine"


27,*gorda* (gordo),"*fat woman*
noun: fat woman"


28,*vendrán* (venir),"*they will come*
verb: come, come round, come through"


29,*paren* (parar),"*stop*
verb: stop, halt, end"


30,*piedras* (piedra),"*stones*
noun: stone, rock, flint"


31,*pesado* (pesado pesar),"*heavy*
adjective: heavy, heavyweight, burdensome
noun: nuisance"


32,*despertar*,"*wake up*
noun: awakening, arousal
verb: wake, awaken, arouse"


33,*pierdes* (perder),"*you lose*
verb: lose, miss, waste"


34,*jesucristo* (Jesucristo),"*Jesus Christ*
noun: Christ
abbreviation: J.C."


35,*damos* (dar),"*we give*
verb: give, yield, lend"


36,*treinta*,"*thirty*
adjective: thirty
noun: thirty
: thirty"


37,*recuerde* (recordar),"*remember*
verb: remember, recall, remind"


38,*capacidad*,"*ability*
noun: capacity, ability, capability"


39,*soportar*,"*bear*
verb: bear, endure, hold"


40,*senado*,"*senate*
noun: senate"


41,*decidió* (decidir),"*He decided*
verb: decide, determine, rule"


42,*prepárense* (preparar),"*get ready*
"


43,*asusta* (asustar),"*scares*
verb: scare, frighten, startle"


44,*aquello*,"*that*
pronoun: that"


45,*aguantar*,"*put up with*
verb: endure, stand, put up"


46,*aprendí* (aprender),"*I learned*
verb: learn, pick up, acquire"


47,*tenéis* (tener),"*you have*
phrase: you have"


