,Spanish,Quizlet


0,*devolver*,"*return*
verb: return, restore, repay
noun: render"


1,*solitario*,"*lonely*
adjective: solitary, lonely, lone
noun: solitaire, recluse, patience"


2,*misiles* (misil),"*missiles*
noun: missile"


3,*desnuda* (desnudo desnudar),"*nude*
adjective: naked, bare, nude
noun: nude, nudity, undress"


4,*vaquero*,"*cowboy*
noun: cowboy, cowherd, jean"


5,*únicos* (único),"*unique*
adjective: only, unique, single"


6,*trasera* (trasero),"*rear*
adjective: rear, back, rearward"


7,*sano*,"*healthy*
adjective: healthy, sound, wholesome"


8,*piezas* (pieza),"*parts*
noun: piece, part, room"


9,*liga* (liga ligar),"*league*
noun: league, garter, birdlime"


10,*gerente*,"*manager*
noun: manager, director, executive
adjective: managing"


11,*caridad*,"*charity*
noun: charity, handout"


12,*armados* (armado armar),"*armed*
adjective: armed"


13,*trajeron* (traer),"*they brought*
verb: bring, bring in, get"


14,*religión*,"*religion*
noun: religion"


15,*fotografías* (fotografía),"*Photographs*
noun: photograph, photography, picture"


16,*sentirse* (sentir),"*feel*
verb: feel, come over"


17,*rezar*,"*pray*
verb: pray"


18,*protege* (proteger),"*protects*
verb: protect, safeguard, secure"


19,*preparen* (preparar),"*prepare*
verb: prepare, make, ready"


20,*niñera*,"*babysitter*
noun: nanny, baby-sitter, nurse"


21,*naranja* (naranja naranjo),"*orange*
noun: orange"


22,*matarnos* (matar),"*kill us*
"


23,*jugada* (jugada jugar),"*move*
noun: move, play, gamble"


24,*espérame* (esperar),"*wait for me*
"


25,*enseñarte* (enseñar),"*teach you*
"


26,*cohete*,"*rocket*
noun: rocket, skyrocket"


27,*tanques* (tanque),"*tanks*
noun: tank, cistern"


28,*sombras* (sombra),"*shades*
noun: shades"


29,*moverse* (mover),"*move*
verb: move, travel, stir"


30,*llegara* (llegar),"*reach*
verb: arrive at, come to, hit"


31,*cortó* (cortar),"*short*
adjective: short, brief, narrow"


32,*cierren* (cerrar),"*close*
verb: close, shut, shut down"


33,*volverán* (volver),"*they will return*
verb: return, go back, come back"


34,*usamos* (usar),"*we use*
verb: use, wear, utilize"


35,*sabremos* (saber),"*we will know*
verb: know, realize, taste"


36,*maletín*,"*briefcase*
noun: briefcase, attache case"


37,*lenguaje*,"*language*
noun: language, speech, parlance"


38,*invitación*,"*invitation*
noun: invitation, invite, bid"


39,*cambian* (cambiar),"*change*
verb: change, switch, shift"


40,*rehenes* (rehén),"*hostages*
noun: hostage, pawn"


41,*encontremos* (encontrar),"*let's find*
verb: find, meet, encounter"


42,*descubrí* (descubrir),"*I discovered*
verb: discover, find out, uncover"


43,*audiencia*,"*audience*
noun: audience"


44,*agenda*,"*diary*
noun: diary"


45,*sígueme* (seguir),"*follow me*
"


46,*sensible*,"*sensitive*
adjective: sensitive, tender, noticeable"


47,*reverendo*,"*reverend*
adjective: reverend
abbreviation: Rev."


48,*queréis* (querer),"*do you want*
verb: want, love, wish"


49,*cazar*,"*hunt*
verb: hunt, chase, get"


