,Spanish,Quizlet


0,*escudo*,"*shield*
noun: shield, escutcheon, buckler"


1,*cueva*,"*cave*
noun: cave, cavern, pothole"


2,*aérea* (aéreo),"*aerial*
adjective: air, aerial, overhead"


3,*levantar*,"*get up*
verb: lift, raise, pick up"


4,*juguetes* (juguete),"*toys*
noun: toy, plaything, bauble"


5,*ciertamente*,"*certainly*
adverb: certainly, surely, assuredly"


6,*bajen* (bajar),"*come down*
verb: lower, get off, go down"


7,*temas* (tema),"*topics*
noun: theme, topic, subject"


8,*pedirte* (pedir),"*ask you*
"


9,*elegante*,"*elegant*
adjective: elegant, stylish, smart"


10,*divorcio*,"*divorce*
noun: divorce, divorcement"


11,*depósito*,"*deposit*
noun: deposit, tank, reservoir"


12,*concierto*,"*concert*
noun: concert, gig, concerto"


13,*calla* (callar),"*shut up*
verb: shut up, keep quiet, quieten"


14,*transmisión*,"*transmission*
noun: transmission, broadcasting, emission"


15,*mataría* (matar),"*would kill*
verb: kill, slay, murder"


16,*flor*,"*flower*
noun: flower, blossom, bloom"


17,*viejas* (viejo),"*old*
adjective: old, aged, elder
noun: old man, oldster, greybeard"


18,*trabajan* (trabajar),"*they work*
verb: work, job, labor"


19,*onda*,"*vibe*
noun: wave, ripple"


20,*saldremos* (salir),"*we will go out*
verb: leave, get out, go out"


21,*preguntado* (preguntar),"*asked*
verb: ask, inquire, question"


22,*aliento*,"*breath*
noun: breath, encouragement"


23,*academia*,"*academy*
noun: academy, school"


24,*sonar*,"*dream*
noun: sonar
verb: sound, ring, play"


25,*recibe* (recibir),"*receives*
verb: receive, get, welcome"


26,*patio*,"*yard*
noun: patio, courtyard, yard"


27,*función*,"*function*
noun: function, performance, show"


28,*conduce* (conducir),"*she drives*
verb: lead, drive, conduct"


29,*pregúntale* (preguntar),"*ask her*
"


30,*palo*,"*stick*
noun: stick, club, pole"


31,*internacional*,"*international*
adjective: international
noun: international"


32,*hueso*,"*bone*
noun: bone"


33,*esclavos* (esclavo),"*slaves*
noun: slave, thrall, bondman
adjective: bond"


34,*versión*,"*version*
noun: version, edition, translation"


35,*sacrificio*,"*sacrifice*
noun: sacrifice, slaughter, offering"


36,*judíos* (judío),"*Jews*
adjective: Jewish, Yiddish
noun: Jew"


37,*increible* (increíble),"*incredible*
adjective: incredible, unbelievable, extraordinary"


38,*fotografía*,"*Photography*
noun: photograph, photography, picture"


39,*delicioso*,"*delicious*
adjective: delicious, delectable, luscious"


40,*crímenes* (crimen),"*crimes*
noun: crime, felony, offense"


41,*zorra*,"*bitch*
noun: fox, bitch, vixen"


42,*valle*,"*valley*
noun: valley, vale, dale"


43,*llevaremos* (llevar),"*we will carry*
verb: carry, take, bring"


44,*lentamente*,"*slowly*
adverb: slow, inchmeal"


45,*encantada* (encantado encantar),"*nice to meet you*
adjective: delighted, haunted, bewitched"


46,*arreglo*,"*arrangement*
noun: arrangement, settlement, fix"


47,*volvería* (volver),"*would come back*
verb: return, go back, come back"


