,Spanish,Quizlet



0,*que*,"*that*
adjective: what
conjunction: that, than
pronoun: what, that

""¿Qué quieres hacer hoy?"" - What do you want to do today?"



1,*de*,"*of*
preposition: of, from, by
conjunction: than
adverb: off

Él es el dueño de la casa. He is the owner of the house."



2,*no*,"*No*
particle: not, no, nay

No puedo ir contigo. - I cannot go with you."



3,*a*,"*to*
preposition: to, at, of

""Ella está a punto de salir."" - She is about to leave."



4,*la*,"*the*
article: the
noun: la, A
pronoun: her, it, you

La casa es muy grande. - The house is very big."



5,*el*,"*he*
article: the

El chico está comiendo una manzana. - The boy is eating an apple."



6,*es* (ser),"*is*
phrase: this is, you are

""Es una pregunta difícil."" - It is a difficult question."



7,*y*,"*and*
conjunction: and

""Y yo quiero un helado."" - And I want an ice cream."



8,*en*,"*in*
preposition: in, on, at

""Vamos a pasear en el parque."" - Let's go for a walk in the park."



9,*lo*,"*it*
article: the
pronoun: it, him, to it

""Lo siento mucho."" - I'm very sorry."



10,*un*,"*a*
article: a, an
adjective: one

""Tengo una pregunta."" - I have a question."



11,*por*,"*by*
preposition: by, for, per

Por favor, ayúdame. - Please, help me."



12,*qué*,"*that*
adjective: what
adverb: what

""¿Qué tal?"" - What's up?"



13,*me*,"*I*
pronoun: me, myself

Me gusta cantar.  I like to sing."



14,*una* (un),"*a*
article: a, an
adjective: one

Una vez más, uno debe tener cuidado. - Once again, one must be careful."



15,*te*,"*tea*
pronoun: you, thee, yourself

""Te quiero mucho"" - I love you very much."



16,*los* (lo),"*the*
article: the
pronoun: them

Los alumnos están aprendiendo mucho. - The students are learning a lot."



17,*se*,"*HE*
pronoun: oneself, self
abbreviation: o.s.

Se desvaneció rápidamente. - It disappeared quickly."



18,*con*,"*with*
preposition: with, by, cum

""Ella habla con su hermano."" - She speaks with her brother."



19,*para*,"*for*
preposition: for, to, of
conjunction: in order to, so as to

""Para tener éxito, necesitas trabajar duro."" - In order to be successful, you need to work hard."



20,*mi*,"*my*
pronoun: my, myself
noun: mi, E

""Mi casa es grande."" - My house is big."



21,*está* (estar),"*is*
adjective: this
pronoun: this one

""Está lloviendo."" - It is raining."



22,*si*,"*Yeah*
noun: si, B
conjunction: once, supposing

Si pudiera, lo haría. - If I could, I would."



23,*bien*,"*good*
adjective: well, nice
adverb: well, good, right
noun: good, right, sake

""Todo está bien."" - Everything is good."



24,*pero*,"*but*
conjunction: but, only
noun: but

""Pero él no quiere ir al cine"", But he doesn't want to go to the movies."



25,*yo*,"*I*
pronoun: I
noun: self

Yo quiero comer. - I want to eat."



26,*eso*,"*it's*
pronoun: that, it

Eso es fácil de decir. - That is easy to say."



27,*las* (la),"*the*
article: the
pronoun: them

Las vacaciones son divertidas. - Vacations are fun."



28,*sí*,"*Yeah*
noun: yes, yea
particle: yes, yeah, yea
pronoun: himself, herself, oneself
abbreviation: o.s.

Sí, lo haré. Yes, I will do it."



29,*su*,"*his*
pronoun: your, his, its
adjective: his

""Su amor es incondicional."" - His/Her love is unconditional."



