,Spanish,Quizlet


0,*llegando* (llegar),"*arriving*
verb: get, reach, arrive"


1,*mostraré* (mostrar),"*I'll show*
verb: show, display, exhibit"


2,*deba* (deber),"*must*
verb: must, owe, job"


3,*berlín* (Berlín),"*berlin*
"


4,*nerviosa* (nervioso),"*nervous*
adjective: nervous, nerve, edgy"


5,*hallar*,"*find*
verb: find, find out, discover"


6,*dudas* (duda dudar),"*doubts*
noun: niggling"


7,*llegan* (llegar),"*arrive*
verb: get, reach, arrive"


8,*instrucciones* (instrucción),"*instructions*
noun: instructions, directions, briefing"


9,*baje* (bajar),"*get off*
verb: lower, get off, go down"


10,*vinimos* (venir),"*we came*
verb: come, come round, come through"


11,*ritmo*,"*rhythm*
noun: rhythm, rate, beat"


12,*quédense* (quedar),"*stay*
"


13,*suponía* (suponer),"*supposed*
verb: suppose, involve, guess"


14,*pistas* (pista),"*tracks*
noun: track, runway, clue"


15,*palacio*,"*palace*
noun: palace, mansion"


16,*encontraré* (encontrar),"*I'll find*
verb: find, meet, encounter"


17,*venta*,"*sale*
noun: sale, sales, disposal"


18,*urgente*,"*urgent*
adjective: urgent, pressing, express"


19,*tomamos* (tomar),"*we take*
verb: take, have, drink"


20,*salí* (salir),"*I left*
verb: leave, get out, go out"


21,*cuerda* (cuerda cuerdo),"*rope*
noun: rope, string, cord"


22,*vendría* (venir),"*would come*
verb: come, come round, come through"


23,*pasaba* (pasar),"*passed*
verb: pass, go, move"


24,*instante*,"*instant*
noun: instant, moment, minute"


25,*almas* (alma),"*souls*
noun: soul, heart, spirit"


26,*suficientes* (suficiente),"*enough*
adjective: enough, sufficient, adequate
noun: D"


27,*secundaria* (secundario),"*secondary*
adjective: secondary, side, minor"


28,*saltar*,"*hop*
verb: jump, leap, hop"


29,*queria* (querer),"*wanted to*
auxiliary verb: would"


30,*quedarnos* (quedar),"*stay*
"


31,*molesto* (molesto molestar),"*annoying*
adjective: annoying, troublesome, bothersome"


32,*colina*,"*hill*
noun: hill"


33,*porquería*,"*filth*
noun: filth, muck, dirt"


34,*sienten* (sentir sentar),"*feel*
verb: feel, sense, regret"


35,*pondrá* (poner),"*will put*
verb: put, add, place"


36,*terroristas* (terrorista),"*terrorists*
adjective: terrorist
noun: terrorist"


37,*empecé* (empezar),"*I started*
verb: start, begin, get"


38,*pongan* (poner),"*put*
verb: put, add, place"


39,*moto*,"*motorcycle*
noun: motorbike, scooter"


40,*opinas* (opinar),"*do you think*
verb: say, think, opine"


41,*habilidad*,"*ability*
noun: ability, skill, proficiency"


42,*entren* (entrar),"*come in*
verb: enter, get in, come in"


43,*descubierto* (descubierto descubrir),"*discovered*
adjective: uncovered, bare, exposed
noun: overdraft"


44,*convertido* (convertido convertir),"*converted*
adjective: converted, turned
noun: convert"


45,*asegúrate* (asegurar),"*make sure*
"


46,*quedé* (quedar),"*I stayed*
verb: stay, remain, keep"


47,*kilos* (kilo),"*kilos*
noun: kilo, kilogram, kilogramme"


