,Spanish,Quizlet


0,*volando* (volar),"*flying*
adjective: airborne"


1,*pensamos* (pensar),"*we think*
verb: think, reflect, ponder"


2,*míos* (mío),"*mine*
"


3,*errores* (error),"*mistakes*
noun: error, mistake, bug"


4,*celular*,"*cell phone*
adjective: cellular"


5,*cuantas* (cuanto),"*how many*
"


6,*verlos* (ver),"*see them*
"


7,*ayudarle* (ayudar),"*help you*
"


8,*meter*,"*to put*
verb: put, insert, place"


9,*hablaré* (hablar),"*I'll talk*
verb: talk, speak, chat"


10,*ésto* (esto),"*this*
pronoun: this"


11,*buscas* (buscar),"*you seek*
noun: search, hunt, bleeper"


12,*equivocada* (equivocado equivocar),"*wrong*
adjective: wrong, mistaken, misguided"


13,*dejan* (dejar),"*leave*
verb: leave, let, stop"


14,*vacío*,"*empty*
noun: vacuum, void, emptiness
adjective: empty, void, blank"


15,*trabajaba* (trabajar),"*worked*
verb: work, job, labor"


16,*salón*,"*lounge*
noun: lounge, salon, saloon"


17,*motor*,"*engine*
noun: engine, motor, power unit
adjective: motor, driving, motive"


18,*conducir*,"*drive*
verb: lead, drive, conduct"


19,*compré* (comprar),"*I bought*
verb: buy, purchase, get"


20,*quizas* (quizás),"*maybe*
adverb: perhaps, maybe, possibly"


21,*den* (dar),"*give*
verb: give, yield, lend"


22,*cerrada* (cerrado cerrar),"*closed*
verb: close, shut, shut down"


23,*cortar*,"*cut*
verb: cut, cut off, cut out"


24,*crea* (crear),"*creates*
verb: create, make, set up"


25,*sera* (ser),"*be*
"


26,*mueva* (mover),"*move*
verb: move, shift, shake"


27,*hazme* (hacer),"*make me*
"


28,*bravo*,"*Bravo*
adjective: brave, rough, wild
adverb: doughtily"


29,*pregunté* (preguntar),"*I asked for*
verb: ask, inquire, question"


30,*promesa*,"*promise*
noun: promise, vow, undertaking"


31,*espejo*,"*mirror*
noun: mirror, glass, reflection"


32,*dígale* (decir),"*tell him*
"


33,*sienta* (sentar sentir),"*feel*
verb: feel, sense, regret"


34,*médicos* (médico),"*doctors*
noun: doctor, physician, medico
adjective: medical, medic"


35,*cero*,"*zero*
adjective: zero
noun: zero, nil, nothing
: zero"


36,*escribió* (escribir),"*wrote*
verb: write, spell, write out"


37,*volveremos* (volver),"*we will be back*
verb: return, go back, come back"


38,*unidades* (unidad),"*units*
noun: unit, unity, oneness"


39,*cheque*,"*check*
noun: check, cheque"


40,*consigue* (conseguir),"*get*
verb: get, achieve, obtain"


41,*antiguo*,"*ancient*
adjective: old, ancient, former
noun: antique"


42,*regla*,"*ruler*
noun: rule, ruler, regulation"


43,*pesadilla*,"*nightmare*
noun: nightmare"


44,*enviar*,"*send*
verb: send, post, ship"


45,*podías* (poder),"*could you*
verb: be able to, can, may"


46,*llevarte* (llevar),"*take you*
"


47,*entrenador*,"*coach*
noun: coach, trainer"


48,*cuida* (cuidar),"*takes care*
verb: care, look after, tend"


49,*paciencia*,"*patience*
noun: patience, forbearance, tolerance"


50,*dilo* (decir),"*say it*
"

