,Spanish,Quizlet


0,*países* (país),"*countries*
noun: estate"


1,*once*,"*eleven*
noun: eleven, elevenses
: eleven"


2,*matarlos* (matar),"*kill them*
"


3,*graduación*,"*graduation*
noun: graduation, rank, calibration"


4,*frase*,"*phrase*
noun: phrase, sentence, locution"


5,*eterna* (eterno),"*eternal*
adjective: eternal, everlasting, timeless"


6,*estarlo* (estar),"*be*
"


7,*descuida* (descuidar),"*don't worry*
verb: neglect, disregard, abandon"


8,*toalla*,"*towel*
noun: towel, horsetowel"


9,*próximos* (próximo),"*next*
adjective: next, near, close"


10,*monedas* (moneda),"*coins*
noun: currency, coin, money"


11,*mirad* (mirar),"*Behold*
interjection: Behold!"


12,*miraba* (mirar),"*looked*
verb: look, look at, watch"


13,*griegos* (griego),"*greeks*
adjective: Greek, Grecian
noun: Greek, Grecian"


14,*famosa* (famoso),"*famous*
adjective: famous, renowned, famed"


15,*corredor*,"*runner*
noun: corridor, broker, runner"


16,*atravesar*,"*cross*
verb: cross, traverse, break through"


17,*aguas* (agua),"*waters*
noun: water, aqua"


18,*modales* (modal),"*manners*
noun: manners, address"


19,*guerras* (guerra),"*wars*
noun: war, warfare"


20,*eternidad*,"*eternity*
noun: eternity, forever, everlasting"


21,*conocerla* (conocer),"*know her*
"


22,*busquen* (buscar),"*look for*
verb: search, search for, look"


23,*acuerda* (acuerdo acordar),"*agree*
verb: agree, agree on, arrange"


24,*sentirme* (sentir),"*feel*
"


25,*quema* (quemar),"*burning*
phrase: Does it burn?"


26,*poema*,"*poem*
noun: poem"


27,*ordenó* (ordenar),"*ordered*
verb: order, sort, arrange"


28,*espiritual*,"*spiritual*
adjective: spiritual, unworldly, otherworldly"


29,*costumbre*,"*habit*
noun: custom, habit, practice"


30,*comencé* (comenzar),"*I started*
verb: start, begin, commence"


31,*cabra*,"*goat*
noun: goat, nanny-goat"


32,*alquiler*,"*rent*
noun: rental, hire, renting
verb: let, charter"


33,*vencido* (vencido vencer),"*defeated*
adjective: defeated, beaten, losing"


34,*vela* (vela velar),"*candle*
noun: candle, sail, watch"


35,*trataré* (tratar),"*i will try*
verb: treat, process, try on"


36,*sospechosos* (sospechoso),"*suspects*
adjective: suspect, fishy, dubious
noun: suspect"


37,*quinto*,"*fifth*
adjective: fifth
noun: fifth
: fifth"


38,*pilotos* (piloto),"*pilots*
noun: airmen"


39,*perdieron* (perder),"*lost*
verb: lose, miss, waste"


40,*generación*,"*generation*
noun: generation"


41,*formación*,"*training*
noun: training, formation, education"


42,*estructura*,"*structure*
noun: structure, frame, framework"


43,*concéntrate* (concentrar),"*focus*
"


44,*complejo*,"*complex*
adjective: complex, convoluted
noun: complex, a hang up"


45,*voces* (voz),"*voices*
noun: voice, word, vocals"


46,*tragos* (trago),"*drinks*
noun: drink, swallow, gulp"


47,*temor*,"*fear*
noun: fear, awe, misgiving"


48,*república*,"*republic*
noun: republic"


49,*recursos* (recurso),"*resources*
noun: means, sinews"


