,Spanish,Quizlet


0,*semanas* (semana),"*weeks*
noun: week, period"


1,*coche*,"*car*
noun: car, coach, carriage"


2,*peor* (peor bien),"*worse*
adjective: worst, worse, worse off
adverb: worst, worse"


3,*mucha* (mucho),"*a lot*
"


4,*disculpe* (disculpar),"*excuse me*
"


5,*diré* (decir),"*I will say*
verb: say, tell, speak"


6,*anoche*,"*last night*
adverb: last night"


7,*perder*,"*lose*
verb: lose, miss, waste"


8,*vámonos* (ir),"*let's go*
"


9,*nave*,"*ship*
noun: nave, shed, auditorium"


10,*cielo*,"*darling*
noun: sky, heaven, skies"


11,*habrá* (haber),"*there will be*
verb: have"


12,*orden*,"*order*
noun: order, command, warrant"


13,*segura* (seguro),"*safe*
adjective: sure, safe, secure"


14,*querida* (querida querido querer),"*Dear*
noun: mistress, inamorata
adjective: kept"


15,*niña*,"*little girl*
noun: girl, wench, gal"


16,*increíble*,"*incredible*
adjective: incredible, unbelievable, extraordinary"


17,*además*,"*besides*
adverb: also, besides, further"


18,*deben* (deber),"*must*
verb: must, owe, job"


19,*libro*,"*book*
noun: book"


20,*calle* (calle callar),"*street*
noun: street, road, lane
abbreviation: St."


21,*café*,"*coffee*
noun: coffee, cafe, coffee house"


22,*piensas* (pensar),"*do you think*
verb: think, reflect, ponder"


23,*hacemos* (hacer),"*we make*
verb: do, make, ask"


24,*especial*,"*special*
adjective: special, particular, especial"


25,*queremos* (querer),"*we want*
verb: want, love, wish"


26,*irme* (ir),"*go away*
"


27,*perfecto*,"*perfect*
adjective: perfect, ideal, flawless"


28,*buscar*,"*look for*
verb: search, search for, look"


29,*odio* (odio odiar),"*hate*
noun: hatred, hate, odium"


30,*piensa* (pensar),"*think*
verb: think, reflect, ponder"


31,*oficina*,"*office*
noun: office, bureau, business office"


32,*hablas* (hablar habla),"*speak*
verb: talk, speak, chat"


33,*libre*,"*free*
adjective: free, loose, idle
noun: leisure"


34,*agente*,"*agent*
noun: agent, operative, factor"


35,*llamar*,"*call*
verb: call, get, knock"


36,*mala* (malo mala),"*bad*
adjective: bad, wrong, evil
noun: villain"


37,*detrás*,"*behind*
adverb: behind, back, after"


38,*viste* (ver),"*dresses*
verb: see, view, watch"


39,*dile* (decir),"*tell him*
"


40,*grandes* (grande),"*big*
adjective: large, big, great"


41,*recuerdas* (recordar),"*remember*
verb: remember, recall, remind"


42,*real*,"*real*
adjective: real, actual, royal
noun: real"


43,*estaban* (estar),"*were*
verb: be, stay, stand"


44,*mía* (mío),"*mine*
pronoun: mine"


45,*frente*,"*forehead*
noun: front, face, forehead"


46,*perdido* (perder),"*lost*
adjective: lost, missing, astray"


47,*llamo* (llamar),"*called*
verb: call, get, knock"


48,*muertos* (muerto),"*dead*
adjective: dead, deceased, lifeless
noun: dead, dead man, deceased"


49,*millones* (millón),"*millions*
"


50,*asesino* (asesino asesinar),"*killer*
noun: murderer, killer, assassin
adjective: murderous, cutthroat"


