,Spanish,QuizletFinal


0,*buen* (bueno),"*good*
adjective: good.
""Ella es una buena amiga."" - She is a good friend."


1,*había* (haber),"*there was*
verb: have.
Había una vez una princesa. - Once upon a time there was a princess."


2,*ven* (ver venir),"*come*
verb: see, view, watch.
Ven conmigo al parque. Come with me to the park."


3,*tres*,"*three*
noun: three
: three.
Tres amigos caminaron juntos. - Three friends walked together."


4,*menos*,"*less*
adjective: less, fewer, minus
adverb: less, least, minus
preposition: less, minus, but.
""Menos hablamos, mejor."" - The less we talk, the better."


5,*debe* (deber),"*has to*
noun: debit
phrase: you may.
""Debe estudiar más para aprobar el examen."" - He must study more in order to pass the exam."


6,*tenía* (tener),"*had*
noun: tapeworm.
Tenía mucho trabajo que hacer. - She had a lot of work to do."


7,*mal*,"*evil*
noun: evil, wrong, ill
adverb: wrong, badly, poorly
adjective: troubled.
""Ella está mal"" - She is not well."


8,*conmigo*,"*with me*
.
""Vamos contigo y conmigo."" - Let's go with you and me."


9,*madre*,"*mother*
noun: mother, parent.
Mi madre me enseñó a cocinar. - My mother taught me how to cook."


10,*hoy*,"*today*
adverb: today
noun: today.
Hoy es mi cumpleaños. - Today is my birthday."


11,*quien*,"*who*
pronoun: whoever, whosoever.
""¿Quién te dijo eso?"" - Who told you that?"


12,*sido* (ser),"*been*
verb: be, come, come of.
""Ha sido un placer conocerte"" - It has been a pleasure to meet you."


13,*mamá*,"*mother*
noun: mom, mum, mother.
""Mi mamá me compra comida todos los días."" - My mom buys me food every day."


14,*tienen* (tener),"*have*
verb: have, keep, own.
Tienen que hacerlo. - They have to do it."


15,*luego*,"*then*
adverb: then, later, next
adjective: early.
Luego iremos a la playa. - Afterwards, we will go to the beach."


16,*todas* (todo),"*all*
adjective: all, whole, entire.
Todas las personas tienen derechos iguales. 
All people have equal rights."


17,*allí*,"*over there*
adverb: there, yonder.
""Allí está mi casa."" - ""There is my house."""


18,*toda* (todo),"*all*
adjective: all, whole, entire.
Toda la comida estaba deliciosa. - All the food was delicious."


19,*hora*,"*hour*
noun: hour, time, tour
abbreviation: hr..
""Es la una de la tarde."" - It is one o'clock in the afternoon."


20,*mujer*,"*women*
noun: woman.
La mujer es inteligente. - The woman is intelligent."


21,*visto* (ver),"*seen*
adjective: viewed.
""Lo he visto antes."" - I have seen it before."


22,*haces* (hacer),"*you do*
verb: do, make, ask.
""¿Qué haces?"" - ""What are you doing?"""


23,*importa* (importar),"*matter*
verb: import, matter, amount to.
No importa si está lloviendo. - It doesn't matter if it's raining."


24,*contigo*,"*with you*
pronoun: with you
noun: love.
""Me gusta estar contigo"" - I like being with you."


25,*ve* (ver ir),"*go*
interjection: Cave!.
""Ve a la biblioteca."" - Go to the library."


26,*tarde* (tarde tardar),"*late*
noun: afternoon, evening, eve
adjective: late
adverb: late.
""Hoy llegué tarde al trabajo."" - ""I arrived late to work today."""


27,*oye* (oír),"*hey*
interjection: Here!, Look here!, Hark!.
Oye, ¡mira! - Hey, look!"


