,Unnamed: 0,French,POS,English,ChatGPT_Sentence
0,100,regarder,verb,"to look at, watch","Je vais partir après regarder ce film, mais il ne faut pas tuer le suspense.

I will leave after watching this movie, but you must not kill the suspense."
1,101,encore,adverb,"again, over again, even, still","Je vais sortir ce soir encore parce que j'aime la nuit.  
I am going out again tonight because I love the night."
2,102,appeler,verb,"to call, ring","Je ne sais pas encore quel numéro appeler.
I don't know yet which number to call."
3,103,est-ce que,adverb,is it,"Est-ce que la fille dit ""ouais""?
Is the girl saying ""yeah""?"
4,104,peu,"noun, adverb","not much, not very, few; bit","French: Je vais appeler mes deux amis dans un peu de temps.
English: I am going to call my two friends in a little while."
5,105,homme,noun,man,"Peut-être que je connais cet homme.

Maybe I know this man."
6,106,partir,verb,"to go, leave, go away","Monsieur Dupont va partir demain pour son premier voyage.

Mr. Dupont is going to leave tomorrow for his first trip."
7,107,ma,possessive adjective,"my (used before a feminine singular noun) (see #27, 50)","Je cherche ma clé dans leur maison.
I am looking for my key in their house."
8,108,toujours,adverb,"always, still","Mon père est toujours vraiment gentil.
My father is always really kind."
9,109,jour,noun,"day, daytime","Quelle belle journée, j'ai besoin de repos.  
What a beautiful day, I need rest."
10,110,femme,noun,"woman, wife","La femme rêve d'un monde juste.
The woman dreams of a just world."
11,111,temps,noun,weather; time; times,"Il aime jouer seul pendant son temps libre.
He likes to play alone during his free time."
12,112,maintenant,adverb,"now, nowadays","Il est l'heure maintenant, pas avant.
It is time now, not before."
13,113,notre,possessive adjective,our (singular) (see #192),"Notre monde est en accord.

Our world is in agreement."
14,114,vie,noun,"life, lifetime, existence","Elle passe ses heures à réfléchir sur la vie.
She spends her hours reflecting on life."
15,115,deux,numerical adjective,two,"Il y a deux ans, j'ai passé du temps en France.  
Two years ago, I spent time in France."
16,116,mettre,verb,"to put, put on, wear; languagedaily dot com","Je vais mettre mon premier livre de vie sur l'étagère.
I am going to put my first life book on the shelf."
17,117,rester,verb,"to stay, remain","Monsieur, vous pouvez rester avec nos amis.

Sir, you can stay with our friends."
18,118,sans,preposition,without,"Je peux demander tes conseils sans hésitation.  
I can ask for your advice without hesitation."
19,119,seul,"adjective, noun",alone,"L'enfant est le seul homme ici.
The child is the only man here."
20,120,arrêter,verb,to stop,"Ma mère m'a dit d'arrêter de sortir.

My mother told me to stop going out."
21,121,vraiment,adverb,"really, truly","Ce soir, il fait vraiment quelque chose de spécial.
This evening, he is really doing something special."
22,122,connaître,verb,"to know, experience","Je veux mieux connaître ce beau pays.
I want to know this beautiful country better."
23,123,quelque,"indefinite adjective, adverb","some, a few, any","Quelque monsieur a visité notre maison.
Some gentleman visited our house."
24,124,sûr,adjective,"on, over","Je suis sûr de ne pas mettre mes clés où je pourrais les perdre.
I am sure not to put my keys where I could lose them."
25,125,tuer,verb,to kill,"Oh, pourquoi demander de tuer cet insecte?

Oh, why ask to kill this insect?"
26,126,mourir,verb,"to die, pass away","Il faut mettre une couverture la nuit pour ne pas mourir de froid.
You need to put on a blanket at night to avoid dying from the cold."
27,127,demander,verb,"to ask, ask for, be looking for","Il a demandé à propos de la mort de son ami l'année dernière.
He asked about the death of his friend last year."
28,128,juste,"adjective, adverb","just, fair; just, right, accurate; french.languagedaily.com","C'est juste de rester vrai.

It is fair to stay true."
29,129,peut-être,adverb,"perhaps, maybe","Peut-être notre chat est mort.

Maybe our cat is dead."
30,130,dieu,noun,god,"Oh, dieu, reste avec nous.

Oh, God, stay with us."
31,131,fois,noun,time,"C'est la première fois que notre équipe a mal joué.
This is the first time that our team played poorly."
32,132,oh,onomatopoeia,oh!,"Oh, peut-être c'est juste un rêve.

Oh, maybe it's just a dream."
33,133,père,noun,father,"Notre père est un vrai héros.
Our father is a true hero."
34,134,comprendre,verb,to understand,"Il essaie de comprendre ses questions sans demander d'aide.
He tries to understand his questions without asking for help."
35,135,sortir,verb,to go out; take out,"L'enfant veut donc sortir.

The child therefore wants to go out."
36,136,personne,"indefinite pronoun, noun","anyone, anybody; person, individual","Personne ne peut rendre ce livre sans arrêter de lire.
No one can return this book without stopping reading."
37,137,an,noun,year,"Je cherche un problème depuis un an.  
I have been looking for a problem for a year."
38,138,trop,adverb,"too much, too (excessively)","Il fait trop froid depuis que je suis rentré.
It has been too cold since I came back."
39,139,chez,preposition,"at, to, in","Je suis sûr que nous serons à l'heure chez Marie.
I am sure that we will be on time at Marie's house."
40,140,fille,noun,"daughter, girl, gal","La fille va partir demain pour un long jour.

The girl will leave tomorrow for a long day."
41,141,aux,definite article,(à + les) = of the,"Les deux enfants parlent aux parents.  
The two children are talking to the parents."
42,142,monde,noun,"world, people","Le monde est calme la nuit quand je rentre chez moi.
The world is calm at night when I return home."
43,143,ami,"noun, adjective",friend; friendly,"Monsieur Dupont est un homme ami.

Mr. Dupont is a friendly man."
44,144,vrai,adjective,"true, real, genuine","Tes amis sont encore là, c'est vrai.

Your friends are still here, it's true."
45,145,après,"preposition, adverb","after, afterwards, later","Après beaucoup de travail, ils ont terminé leur projet.
After a lot of work, they finished their project."
46,146,mal,"adverb, noun","trouble, difficulty; badly, wrongly","L'homme a mal fini son travail.

The man finished his work poorly."
47,147,besoin,noun,"need, demand, necessity","J'ai juste besoin de mettre mon manteau.  
I just need to put on my coat."
48,148,accord,noun,"agreement, accord, harmony","Il y a peu d'accord avant de mourir.
There are few agreements before dying."
49,149,ses,possessive adjective,"his, her, its (plural)","Il utilise ses temps libres pour finir son livre.
He uses his free time to finish his book."
50,150,avant,"preposition, adverb",before,"Avant, je n'avais vraiment pas d'argent.
Before, I really didn't have any money."
51,151,monsieur,noun,"gentleman, Mr","Monsieur a deux femmes.

The gentleman has two wives."
52,152,enfant,noun,"child, infant","L'enfant est vraiment grand.
The child is really tall."
53,153,grand,"adjective, noun","big, large, tall, great; big boy, big girl","Le grand accord nous permet de partir en vacances.
The big agreement allows us to go on vacation."
54,154,entendre,verb,"to hear, listen to, understand","Je ne veux pas mourir seul sans entendre ta voix.
I don't want to die alone without hearing your voice."
55,155,voilà,preposition,"there is, there are","Voilà un an que je demande.  
It's been a year that I've been asking."
56,156,chercher,verb,"to look for, seek","Quelle guitare veux-tu chercher pour jouer?
Which guitar do you want to look for to play?"
57,157,heure,noun,hour; time; age,"Il est deux heures et les gens arrivent.  
It is two o'clock and people are arriving."
58,158,mieux,"adverb, noun","better, utmost, best; improvement","Peut-être que ma mère sait mieux.

Maybe my mother knows better."
59,159,tes,possessive adjective,your (plural),"Tes fleurs sentent beau.  
Your flowers smell nice."
60,160,aider,verb,"to help, aid","Je vais aider tes gens.
I am going to help your people."
61,161,mère,noun,mother,"Ma mère me dit d'arrêter de faire du bruit.

My mother tells me to stop making noise."
62,162,déjà,adverb,"already, before","J'ai déjà vraiment besoin d'argent.  
I really already need money."
63,163,beau,adjective,"beautiful, lovely, pretty; fine, nice (weather)","Ah, ce jardin est vraiment beau.  
Ah, this garden is really beautiful."
64,164,essayer,verb,"to try, try out, test","Je veux essayer de vivre et sentir la joie.
I want to try to live and feel the joy."
65,165,quel,interrogative adjective,"what, which (interrogative)","Quel enfant est sûr de lui ?
Which child is confident?"
66,166,vos,possessive adjective,"your (plural, from ''votre'')","Vos enfants sont beaux et ils ont quelque chose de spécial.
Your children are beautiful and they have something special."
67,167,depuis,"preposition, adverb","since, from, for;  french.languagedaily.com","Depuis que j'ai rencontré mon ami, je crois en Dieu.

Since I met my friend, I believe in God."
68,168,quelqu'un,indefinite pronoun,"someone, somebody","Quelqu'un a écrit votre nom sur la liste.  
Someone wrote your name on the list."
69,169,beaucoup,adverb,"much, many, a lot","Quelle chance de vivre ici, il y a beaucoup de belles choses à voir.
What luck to live here, there are many beautiful things to see."
70,170,revenir,verb,"to come back, return","Quelqu'un peut-être va revenir demain.
Someone maybe will come back tomorrow."
71,171,donc,conjunction,"so, therefore","Je suis perdu, donc je vais chez moi.
I am lost, so I am going home."
72,172,plaire,verb,to be successful,"Le grand jardin me plaît beaucoup, je ne veux pas le perdre.
The big garden pleases me a lot, I don't want to lose it."
73,173,maison,noun,"house, home","Ma maman aime beaucoup notre maison.
My mom loves our house a lot."
74,174,gens,noun,people (plural),"Les gens aiment rendre visite et mettre la table ensemble.
The people like to visit and set the table together."
75,175,nuit,noun,night,"Nous allons partir après jouer toute la nuit.
We will leave after playing all night."
76,176,ah,onomatopoeia,ah!,"Ah, maintenant tu peux revenir.
Ah, now you can come back."
77,177,soir,noun,"evening, night","Quel soir j'ai eu peur.
What an evening I was scared."
78,178,nom,noun,name; noun,"Ah, le nom du héros est mort.

Ah, the name of the hero is dead."
79,179,bonjour,noun,hello (see #207),"Le premier bonjour est sûr.

The first hello is certain."
80,180,jouer,verb,to play,"La femme joue mieux au tennis.
The woman plays tennis better."
81,181,leur,"personal pronoun, possessive pronoun","their, to them (mas or fem), theirs (masc, fem, plural)","Ils aiment leur vie.
They love their life."
82,182,finir,verb,"to finish, end","D'accord, voilà comment finir le travail.

Alright, here is how to finish the work."
83,183,peur,noun,"fear, fright","J'ai peur de rentrer chez moi.

I am afraid to go back home."
84,184,mort,"noun, adjective",death; dead,"Oh, il est toujours mort.  
Oh, he is still dead."
85,185,parce que,conjunction,"because, for","L'homme est content parce qu'il a quelque chose à manger.
The man is happy because he has something to eat."
86,186,perdre,verb,"to lose, miss","Il a déjà perdu son beau chapeau.
He has already lost his beautiful hat."
87,187,maman,noun,"mummy, mama, mom","Maman veut rester avec les gens.  
Mom wants to stay with the people."
88,188,sentir,verb,"to smell, sniff, feel","Je ne veux pas rester ici trop longtemps parce que je commence à sentir la fatigue.
I don't want to stay here too long because I am starting to feel tired."
89,189,ouais,adverb,"yeah, yep","Ouais, d'accord, Dieu est grand.  
Yeah, okay, God is great."
90,190,rentrer,verb,"to bring in, take in; to get in, go in, come home","Peut-être que je vais rentrer à la maison à huit heures ce soir.
Maybe I will go home at eight o'clock tonight."
91,191,nos,possessive adjective,our (plural) (see #114); languagedaily dot com,"Nos amis vont revenir avec une nouvelle personne.
Our friends are going to come back with a new person."
92,192,premier,"adjective, noun","first, basic; first floor","Le premier enfant est le dernier de ma mère.
The first child is my mother's last."
93,193,problème,noun,problem,"Notre problème est juste ici.
Our problem is right here."
94,194,argent,noun,"silver, money","Ses gens ont besoin d'argent.
His people need money."
95,195,quelle,interrogative adjective,"who, what, which","Quelle personne peut aider dans la vie ?
Which person can help in life?"
96,196,vivre,verb,"to live, be alive, go through","Je veux connaître deux façons de vivre.

I want to know two ways of living."
97,197,rendre,verb,"to return, give back, repay","Je vais rendre visite aux amis dans quelque temps.
I will visit the friends in some time."
98,198,dernier,"adjective, noun","last, latest","French: Le dernier film que j'ai vu est sorti la semaine dernière, mais il était vraiment mal.

English: The last movie I saw came out last week, but it was really bad."
99,199,tenir,verb,"to hold, run, keep, last","Je dois tenir mon téléphone pour appeler et ne pas le perdre.
I must hold my phone to call and not lose it."
