,Dutch
0,testen
1,kleur
2,aangevallen
3,station
4,kip
5,Simon
6,piloot
7,truck
8,duizenden
9,kluis
10,maatje
11,des
12,echtgenoot
13,Don
14,vermoordt
15,gouden
16,elf
17,gebleven
18,taal
19,sterker
20,noorden
21,zwemmen
22,hoewel
23,leugenaar
24,St.
25,vermist
26,toon
27,vijanden
28,meegemaakt
29,compleet
30,shirt
31,deuren
32,vertrekt
33,lijden
34,geïnteresseerd
35,veroorzaakt
36,telefoontje
37,proces
38,tent
39,harder
40,drank
41,begrafenis
42,achtergelaten
43,gedragen
44,war
45,verstand
46,stuurt
47,snapt
48,oplossen
49,vaarwel
50,ongelofelijk
51,video
52,Adam
53,kregen
54,bevalt
55,hiervan
56,vriendelijk
57,bereikt
58,Vegas
59,Victor
60,jagen
61,wit
62,heus
63,neen
64,bieden
65,vrijdag
66,theorie
67,genaamd
68,melk
69,uwe
70,dankbaar
71,vluchten
72,paarden
73,sterf
74,blind
75,vorig
76,koffer
77,vasthouden
78,carrière
79,vliegveld
80,waardeer
81,verloor
82,goden
83,manieren
84,normale
85,geheimen
86,reizen
87,hoger
88,schoonheid
89,straf
90,iedereen
91,minister
92,eng
93,yeah
94,verkoop
95,berg
96,hoed
97,Alice
98,klant
99,vergadering
