,Dutch
0,namens
1,waarbij
2,scheiding
3,gras
4,trappen
5,steven
6,bijbel
7,uitgaan
8,verbranden
9,houding
10,verontschuldigen
11,legt
12,hoorden
13,speler
14,uitgang
15,verstaan
16,chip
17,schudden
18,vlag
19,steekt
20,bewusteloos
21,NS
22,bewezen
23,communicatie
24,tape
25,commissaris
26,gereden
27,voorzitter
28,soorten
29,technisch
30,families
31,gedroomd
32,pech
33,dubbel
34,sindsdien
35,telefoontjes
36,afschuwelijk
37,uitweg
38,therapie
39,simpele
40,rommel
41,chief
42,fiets
43,kennelijk
44,beschikbaar
45,wanhopig
46,jarig
47,bescherm
48,chaos
49,raket
50,ei
51,gewoonlijk
52,uitschakelen
53,erdoor
54,hof
55,hm
56,echter
57,onbekend
58,opgegroeid
59,vat
60,verbaasd
61,wei
62,nood
63,humor
64,zuurstof
65,vleugels
66,slechter
67,vertrouwde
68,betaalde
69,dwaas
70,positief
71,beroemde
72,joden
73,rotzak
74,aanpakken
75,maal
76,boy
77,mm
78,schedel
79,dochters
80,verspreiden
81,weglopen
82,vriendjes
83,bezwaar
84,kranten
85,aangeraakt
86,proeven
87,dwingen
88,Potter
89,geleid
90,fantasie
91,verkracht
92,overvallen
93,zing
94,overgeven
95,Charlotte
96,schema
97,boeten
98,dodelijk
99,Davis
