,Dutch
0,hallo
1,leuk
2,sorry
3,alle
4,elkaar
5,toe
6,wist
7,zegt
8,bedoel
9,blijf
10,alsjeblieft
11,lang
12,meneer
13,ziet
14,maakt
15,luister
16,dingen
17,mooi
18,werd
19,eerste
20,graag
21,natuurlijk
22,houden
23,zonder
24,steeds
25,krijgen
26,grote
27,achter
28,helemaal
29,naam
30,gek
31,blijven
32,onder
33,vriend
34,geweest
35,kijken
36,geven
37,ging
38,vertellen
39,ooit
40,snel
41,hand
42,idee
43,goede
44,auto
45,kwam
46,verdomme
47,beetje
48,moest
49,kinderen
50,wanneer
51,gebeurd
52,jongen
53,bang
54,vraag
55,lijkt
56,geweldig
57,paar
58,hoor
59,laatste
60,deed
61,nieuwe
62,vragen
63,kun
64,zag
65,zorgen
66,staan
67,wereld
68,eten
69,jongens
70,enige
71,zelf
72,want
73,nemen
74,heen
75,zo'n
76,beste
77,ken
78,vandaag
79,zelfs
80,ie
81,gezegd
82,hadden
83,vertel
84,eerst
85,gevonden
86,zoon
87,buiten
88,samen
89,denken
90,geloof
91,morgen
92,geleden
93,meisje
94,thuis
95,denkt
96,rustig
97,mannen
98,halen
99,probleem
