,Dutch
0,gedachten
1,derde
2,rennen
3,namen
4,teken
5,speelt
6,stem
7,bedrijf
8,moe
9,tenzij
10,dom
11,vlucht
12,raak
13,relatie
14,lachen
15,leuke
16,schuldig
17,negen
18,tafel
19,sneller
20,James
21,jong
22,vanwege
23,beide
24,viel
25,oog
26,leek
27,gestuurd
28,lijn
29,grapje
30,komaan
31,moesten
32,daarvoor
33,onderweg
34,lijst
35,vanuit
36,band
37,gelooft
38,gemist
39,sleutel
40,lag
41,kont
42,reis
43,arm
44,show
45,vertelt
46,groep
47,belde
48,zweer
49,agenten
50,eer
51,onmogelijk
52,steek
53,hel
54,zwaar
55,tuurlijk
56,bevel
57,jonge
58,kerk
59,huwelijk
60,delen
61,sla
62,Amerikaanse
63,wedstrijd
64,maat
65,allen
66,gebroken
67,dromen
68,direct
69,luitenant
70,planeet
71,vooral
72,missie
73,midden
74,gezin
75,gisteravond
76,leiden
77,dame
78,bericht
79,angst
80,stierf
81,wagen
82,blijkbaar
83,kapot
84,zoekt
85,ziel
86,positie
87,waarvoor
88,respect
89,wet
90,gesprek
91,verleden
92,kost
93,links
94,witte
95,ring
96,da's
97,regelen
98,computer
99,dronken
