,Dutch
0,slapen
1,ver
2,reden
3,fout
4,vallen
5,maanden
6,mogen
7,oud
8,vergeet
9,voelt
10,vent
11,sir
12,hoorde
13,hoort
14,klinkt
15,terwijl
16,vriendin
17,welkom
18,team
19,rond
20,president
21,oorlog
22,duidelijk
23,jaren
24,rest
25,schuld
26,avond
27,eerlijk
28,fijn
29,mond
30,buurt
31,drinken
32,telefoon
33,per
34,wapen
35,liet
36,belangrijk
37,kreeg
38,ouders
39,stuk
40,rust
41,vandaan
42,kennen
43,Jezus
44,deel
45,baan
46,kapitein
47,erop
48,geluk
49,dezelfde
50,overal
51,schip
52,heren
53,gegeven
54,anderen
55,zeer
56,langs
57,mam
58,recht
59,lichaam
60,aardig
61,vertrouwen
62,ermee
63,neemt
64,vanaf
65,vaak
66,boek
67,mezelf
68,zetten
69,stil
70,ok
71,kerel
72,betalen
73,geval
74,miljoen
75,tweede
76,haat
77,hard
78,inderdaad
79,woord
80,stond
81,hond
82,straks
83,weken
84,film
85,antwoord
86,veranderen
87,licht
88,houd
89,pa
90,tijdens
91,lieverd
92,liever
93,kwaad
94,ontmoet
95,nergens
96,gebruikt
97,schatje
98,verloren
99,koning
