,Dutch
0,stabiel
1,afhandelen
2,Engelse
3,schilderij
4,podium
5,loslaten
6,krankzinnig
7,onderdeel
8,bewaar
9,excuseren
10,morgenavond
11,medicijn
12,mamma
13,oudere
14,moeilijkheden
15,praatte
16,ratten
17,interview
18,boodschappen
19,noodgeval
20,rekeningen
21,Japan
22,telkens
23,schop
24,fase
25,café
26,gerechtigheid
27,onlangs
28,serie
29,hufter
30,gewonden
31,vermogen
32,vrachtwagen
33,vocht
34,seksuele
35,uitdaging
36,joch
37,bid
38,zieke
39,Amerikaans
40,reageert
41,Palmer
42,wiet
43,theater
44,hoofdpijn
45,kanaal
46,versta
47,status
48,netwerk
49,vanzelf
50,oorzaak
51,verlegen
52,doctor
53,wond
54,acteur
55,hartslag
56,gedraagt
57,grenzen
58,opdagen
59,tekst
60,tevoorschijn
61,uitnodiging
62,zowel
63,bezet
64,letterlijk
65,promotie
66,Donna
67,huidige
68,ketting
69,anti
70,mooier
71,avontuur
72,verbaast
73,filmen
74,moedig
75,pols
76,leuker
77,geplaatst
78,heten
79,vak
80,tempel
81,besteld
82,redde
83,meegebracht
84,Dennis
85,overste
86,doorbrengen
87,rende
88,spoedig
89,stemming
90,grootvader
91,bodem
92,miste
93,ambassadeur
94,Ethan
95,betwijfel
96,titel
97,Rusland
98,verschrikkelijke
99,motel
