Unnamed: 0.1,Unnamed: 0,Russian,POS,ChatGPT_Sentence,Translation
0,501,крупный,adjective,"Крупный пример этой игры показывает, как важно сотрудничество.

A major example of this game shows how important cooperation is.",large
1,502,внутренний,adjective,"Он оставил внутренний мир словно закрытую книгу.  
He left his inner world as if it were a closed book.",interior
2,503,просить,verb,"Я не хочу требовать, но вынужден просить десять минут вашего времени.

I don't want to demand, but I have to ask for ten minutes of your time.",ask
3,504,вспомнить,verb,"Я не могу вспомнить, где находится тот лес, о котором ты сей час говоришь.
I can't remember where that forest you are talking about right now is located.",recall
4,505,открыть,verb,"Я собираюсь открыть дверь, потому что это относится к нашей задаче.

I am going to open the door because it relates to our task.",open
5,506,привести,verb,"Я спросил его, как привести единственный пример.

I asked him how to provide a single example.",bring
6,507,судьба,noun,"Он глядел на свою судьбу, размышляя на эту тему.
He looked at his fate, pondering on this topic.",fate
7,508,пока,adverb,"Мальчик пока не понимает использование этого инструмента.
The boy does not yet understand the use of this tool.",Bye
8,509,девушка,noun,"Девушка решила либо остаться, либо оставить все и уехать.

The girl decided either to stay or to leave everything and go away.",young woman
9,510,поскольку,conjunction,"Праздник начался позже, поскольку шёл дождь.
The celebration started later since it was raining.",because the
10,511,очередь,noun,"В магазине была большая очередь, и мне пришлось достаточно долго просить помощи.

In the store, there was a long line, and I had to ask for help for quite a while.",queue
11,512,лес,noun,"В лесу мы ждали свою очередь десять минут.
In the forest, we waited our turn for ten minutes.",forest
12,513,пусть,particle,"Пусть мой брат успеет на поезд.
Let my brother make it to the train on time.",let
13,514,экономический,adjective,"Экономический кризис стал главной темой в этом крае.
The economic crisis became the main topic in this region.",economic
14,515,оставить,verb,"Когда я выходил из дома, я оставил ключи на столе и глядел на дверь.

When I was leaving the house, I left the keys on the table and looked at the door.",leave
15,516,правый,adjective,"Русский язык: Единственный экономический план оказался правым решением.

English translation: The only economic plan turned out to be the right decision.",right
16,517,состав,noun,"Состав команды был хорош, хоть либо один игрок не мог участвовать.

The composition of the team was good, although either one player could not participate.",compound
17,518,словно,conjunction,"Он вспомнил международный фестиваль, словно это было вчера.

He remembered the international festival as if it were yesterday.",as if
18,519,федеральный,adjective,"Федеральный закон, кстати, регулирует различные аспекты нашей жизни.
The federal law, by the way, regulates various aspects of our lives.",federal
19,520,спрашивать,verb,"Я хочу спросить учителя, можно ли войти в класс и обсудить тему.

I want to ask the teacher if I can enter the classroom and discuss the topic.",ask
20,521,принимать,verb,"Я стараюсь принимать решения, которые позволяют понять значение жизни.

I try to make decisions that allow me to understand the meaning of life.",accept
21,522,член,noun,"Член нашей команды надеется, что его судьба начнётся с успеха.

A member of our team hopes that his fate will begin with success.",member
22,523,искать,verb,"Я буду искать создание, прежде чем уходить.
I will search for the creation before leaving.",search
23,524,близкий,adjective,"Моя близкая подруга решила ехать сдавать кровь в больницу.
My close friend decided to go donate blood at the hospital.",close
24,525,количество,noun,"Количество близких друзей в сей момент невелико.
The number of close friends at this moment is small.",quantity
25,526,похожий,adjective,"Этот человек похожий на единственного друга, который подошёл мне в трудную минуту.
This person is similar to the only friend who came to me in a difficult moment.",similar
26,527,событие,noun,"Федеральный закон может привести к важному событию в стране.
Federal law can lead to an important event in the country.",event
27,528,объект,noun,"Легкий автобус едет к новому объекту.

The light bus is going to the new object.",an object
28,529,зал,noun,"Мы стояли в очереди, чтобы ехать в зал.

We stood in line to go to the hall.",hall
29,530,создание,noun,"Создание искусства привело нас туда.

The creation of art led us there.",Creation
30,531,войти,verb,"Мы решили войти в небольшой зал, чтобы обсудить важное событие.

We decided to enter the small hall to discuss an important event.",to come in
31,532,различный,adjective,"Мне удалось найти различные размеры одежды в магазине.
---
I managed to find various sizes of clothing in the store.",different
32,533,значение,noun,"Каждый член команды должен понимать значение необходимого задания.

Each team member must understand the importance of the necessary task.",meaning
33,534,назвать,verb,"Я хочу назвать магазин, где можно купить свежий воздух.
I want to name a store where you can buy fresh air.",name
34,535,достаточно,adverb,"Мальчик не мог вспомнить достаточно информации для теста.
The boy could not remember enough information for the test.",enough
35,536,период,noun,"Единственный международный период был очень важным для нашей страны.
The only international period was very important for our country.",period
