,Unnamed: 0,Russian,POS,Sentence
0,100,то,conj,"[('При движении позвоночника - диски то сжимаются, то расширяются.', 'When the movement of the spine - the disks are then compressed, then expand.'), ('Соответственно очки открывают обзор то левому глазу, то правому.', 'Accordingly, the glasses open the review to the left eye, then to the right.')]"
1,101,сейчас,advpro,"[('Зато сейчас актриса наслаждается своей жизнью.', 'As of now, the actor is enjoying his single life.'), ('К гинекологу попасть сейчас не могу.', 'I might not be able to go to the gym now.')]"
2,102,тут,advpro,"[('Как видите, особенностей тут немало.', 'You can see that there are a lot of features here.'), ('Именно тут предпочитают отдыхать представители мировой элиты.', ""It is here prefer to relax by representatives of the world's elite."")]"
3,103,лицо,s,"[('На четырех снимках лицо женщины частично скрыто ее телефоном.', ""In four of the pictures, the woman's face was partially concealed by her phone.""), ('Почему-то это лицо девушки выделяется среди многочисленных портретов художника.', ""For some reason, this girl's face stands out among the numerous portraits of the artist."")]"
4,104,каждый,apro,"[('Я обещаю перестать анализировать каждый угол и каждый изгиб и каждый фунт и каждый прием пищи.', 'I promise to stop analyzing every angle and every curve and every pound and every meal.'), ('Мы знали каждый закуток, каждый запах, каждый шум.', 'We knew every nook and cranny, every smell, every noise.')]"
5,105,друг,s,"[('Спецслужбы разных стран следили друг за другом.', 'So the security personnel from all four countries kept an eye on each other.'), ('Это символической обещание заботы друг о друге.', 'This is a symbolic promise to take care of each other for life.')]"
6,106,нет,adv,"[('Если нет раковых клеток в организме, нет бета-глюкозидазы.', 'If there is no cancer in the body, there is no beta-glucosidase enzyme.'), ('Поскольку нет посредников, нет вопроса комиссии.', 'As there are no intermediaries there is no question of commission.')]"
7,107,теперь,advpro,"[('И теперь пожинают плоды этой настойчивости.', ""And now they're stuck with the fruit of this obstinacy.""), ('Благодаря растущей популярности услуг райд-хайлинга теперь стала нормой.', 'Thanks to the rising popularity of on-demand services, ride-hailing has now become a normality.')]"
8,108,ни,part,"[('Его нельзя назвать ни этническим, ни общинным восстанием, ни мятежом, ни партизанской войной.', 'It can be termed neither an ethnic or communal insurrection, nor an insurgency or guerrilla warfare.'), ('Без этого невозможны ни полноценное проведение операций по поддержанию мира, ни постконфликтная реконструкция экономики, ни эффективное оказание гуманитарной помощи, ни возвращение беженцев.', 'Without them, neither fully-fledged United Nations peace-keeping operations nor post-conflict economic reconstruction, nor efficient humanitarian assistance, nor a return of refugees, is possible.')]"
9,109,глаз,s,"[('Равнодушных глаз не было в зале...', 'Folks, there was not a dry eye in the room...'), ('В случае необратимого повреждения глаз или кожи животное погибает.', 'If the test renders irreversible damage to the eye or skin, the animals are euthanized.')]"
10,110,тоже,adv,"[('Теория квантовой гравитации тоже пытается доказать это.', 'The theory of quantum gravity, too, is trying to prove it.'), ('Гораздо опаснее пытаться резать металл тоже.', ""It's much more dangerous to try and cut metal, too."")]"
11,111,тогда,advpro,"[('Будет официальное решение - тогда поговорим.', ""There will be an official decision - then we'll talk.""), ('Уже тогда лучшие сорта подолгу выдерживали.', 'Already then the best sorts were ripened for a long time.')]"
12,112,видеть,v,"[('Однако надо видеть и вторую сторону.', 'But, we need to see the other side as well.'), ('Нас научили видеть мир определенным образом.', ""We've all learned to see the world in a certain way."")]"
