,Number,Romanian,English
300,301,suficient,enough
301,302,simplu,plain
302,303,fată,girl
303,304,de obicei,usual
304,305,tineri,young
305,306,gata,ready
306,307,de mai sus,above
307,308,vreodată,ever
308,309,roșu,red
309,310,lista,list
310,311,deși,though
311,312,simți,feel
312,313,Discuție,talk
313,314,pasăre,bird
314,315,curând,soon
315,316,corp,body
316,317,câine,dog
317,318,familie,family
318,319,directe,direct
319,320,pune,pose
320,321,lăsa,leave
321,322,cântec,song
322,323,măsura,measure
323,324,ușă,door
324,325,produs,product
325,326,negru,black
326,327,scurt,short
327,328,numeral,numeral
328,329,clasă,class
329,330,vânt,wind
330,331,întrebare,question
331,332,întâmpla,happen
332,333,complet,complete
333,334,navă,ship
334,335,zona,area
335,336,jumătate,half
336,337,rocă,rock
337,338,pentru,order
338,339,foc,fire
339,340,sud,south
340,341,problemă,problem
341,342,bucată,piece
342,343,a spus,told
343,344,Știam,knew
344,345,trece,pass
345,346,întrucât,since
346,347,top,top
347,348,întreg,whole
348,349,rege,king
349,350,stradă,street
350,351,inci,inch
351,352,multiplica,multiply
352,353,nimic,nothing
353,354,curs,course
354,355,ședere,stay
355,356,roată,wheel
356,357,complet,full
357,358,vigoare,force
358,359,albastru,blue
359,360,obiect,object
360,361,decidă,decide
361,362,suprafață,surface
362,363,adânc,deep
363,364,luna,moon
364,365,insulă,island
365,366,picior,foot
366,367,sistem,system
367,368,ocupat,busy
368,369,testare,test
369,370,înregistrare,record
370,371,barcă,boat
371,372,comun,common
372,373,aur,gold
373,374,posibil,possible
374,375,avion,plane
375,376,locul,stead
376,377,uscat,dry
377,378,întreb,wonder
378,379,râs,laugh
379,380,mie,thousand
380,381,în urmă,ago
381,382,a fugit,ran
382,383,verifica,check
383,384,joc,game
384,385,forma,shape
385,386,echivala,equate
386,387,fierbinte,hot
387,388,miss,miss
388,389,adus,brought
389,390,căldură,heat
390,391,zăpadă,snow
391,392,anvelope,tire
392,393,aduce,bring
393,394,da,yes
394,395,îndepărtat,distant
395,396,umple,fill
396,397,est,east
397,398,vopsea,paint
398,399,limbă,language
399,400,printre,among
