,Number,Romanian,English
500,501,energie,energy
501,502,vânătoare,hunt
502,503,probabil,probable
503,504,pat,bed
504,505,fratele,brother
505,506,ou,egg
506,507,plimbare,ride
507,508,celulă,cell
508,509,cred,believe
509,510,poate,perhaps
510,511,alege,pick
511,512,brusc,sudden
512,513,conta,count
513,514,pătrat,square
514,515,motiv,reason
515,516,lungime,length
516,517,reprezintă,represent
517,518,artă,art
518,519,subiect,subject
519,520,regiune,region
520,521,dimensiunea,size
521,522,varia,vary
522,523,rezolva,settle
523,524,vorbi,speak
524,525,greutate,weight
525,526,generală,general
526,527,gheață,ice
527,528,indiferent,matter
528,529,cerc,circle
529,530,pereche,pair
530,531,includ,include
531,532,divide,divide
532,533,silabă,syllable
533,534,simțit,felt
534,535,mare,grand
535,536,bilă,ball
536,537,încă,yet
537,538,val,wave
538,539,picătură,drop
539,540,inimă,heart
540,541,sunt,am
541,542,prezent,present
542,543,grele,heavy
543,544,dans,dance
544,545,motor,engine
545,546,poziție,position
546,547,braț,arm
547,548,larg,wide
548,549,naviga,sail
549,550,materiale,material
550,551,fractiune,fraction
551,552,pădure,forest
552,553,sta,sit
553,554,rasă,race
554,555,fereastră,window
555,556,magazin,store
556,557,vară,summer
557,558,tren,train
558,559,somn,sleep
559,560,dovedi,prove
560,561,singuratic,lone
561,562,picior,leg
562,563,exercițiu,exercise
563,564,perete,wall
564,565,captură,catch
565,566,montură,mount
566,567,doresc,wish
567,568,cer,sky
568,569,bord,board
569,570,bucurie,joy
570,571,iarnă,winter
571,572,sat,sat
572,573,scris,written
573,574,sălbatic,wild
574,575,instrumente,instrument
575,576,păstrate,kept
576,577,sticlă,glass
577,578,iarbă,grass
578,579,vacă,cow
579,580,muncă,job
580,581,margine,edge
581,582,semn,sign
582,583,vizita,visit
583,584,trecut,past
584,585,moale,soft
585,586,distracție,fun
586,587,luminos,bright
587,588,gaz,gas
588,589,Vremea,weather
589,590,lună,month
590,591,milioane,million
591,592,poartă,bear
592,593,finisaj,finish
593,594,fericit,happy
594,595,speranță,hope
595,596,floare,flower
596,597,îmbrăca,clothe
597,598,ciudat,strange
598,599,plecat,gone
599,600,comerț,trade
