,Number,Romanian,English
0,1,ca,as
1,2,eu,I
2,3,lui,his
3,4,că,that
4,5,el,he
5,6,a fost,was
6,7,pentru,for
7,8,pe,on
8,9,sunt,are
9,10,cu,with
10,11,ei,they
11,12,fie,be
12,13,la,at
13,14,una,one
14,15,au,have
15,16,acest,this
16,17,de la,from
17,18,de,by
18,19,fierbinte,hot
19,20,cuvânt,word
20,21,dar,but
21,22,ce,what
22,23,unele,some
23,24,este,is
24,25,ea,it
25,26,tu,you
26,27,sau,or
27,28,a avut,had
28,29,a făcut,the
29,30,de,of
30,31,la,to
31,32,și,and
32,33,o,a
33,34,în,in
34,35,noi,we
35,36,poate,can
36,37,afară,out
37,38,alte,other
38,39,au fost,were
39,40,care,which
40,41,face,do
41,42,lor,their
42,43,timp,time
43,44,dacă,if
44,45,va,will
45,46,cum,how
46,47,a declarat,said
47,48,o,an
48,49,fiecare,each
49,50,spune,tell
50,51,nu,does
51,52,set,set
52,53,trei,three
53,54,vrea,want
54,55,aer,air
55,56,bine,well
56,57,"De asemenea,",also
57,58,juca,play
58,59,mic,small
59,60,capăt,end
60,61,pune,put
61,62,home,home
62,63,citeste,read
63,64,mână,hand
64,65,portul,port
65,66,mare,large
66,67,scrie,spell
67,68,adăuga,add
68,69,chiar,even
69,70,teren,land
70,71,aici,here
71,72,must,must
72,73,mare,big
73,74,mare,high
74,75,astfel de,such
75,76,urma,follow
76,77,act,act
77,78,de ce,why
78,79,cere,ask
79,80,bărbați,men
80,81,schimbare,change
81,82,a mers,went
82,83,lumina,light
83,84,fel,kind
84,85,de pe,off
85,86,nevoie,need
86,87,casă,house
87,88,imagine,picture
88,89,încercați,try
89,90,ne,us
90,91,din nou,again
91,92,animal,animal
92,93,punct,point
93,94,mamă,mother
94,95,lume,world
95,96,în apropiere,near
96,97,construi,build
97,98,auto,self
98,99,pământ,earth
99,100,tatal,father
