,Number,Romanian,English
800,801,ghici,guess
801,802,necesar,necessary
802,803,ascuțit,sharp
803,804,aripă,wing
804,805,crea,create
805,806,vecin,neighbor
806,807,spălare,wash
807,808,liliac,bat
808,809,destul,rather
809,810,mulțime,crowd
810,811,porumb,corn
811,812,compara,compare
812,813,poezie,poem
813,814,sir,string
814,815,clopot,bell
815,816,depinde,depend
816,817,carne,meat
817,818,freca,rub
818,819,tub,tube
819,820,faimos,famous
820,921,dolarul,dollar
821,822,flux,stream
822,823,frică,fear
823,284,vedere,sight
824,825,subțire,thin
825,826,triunghi,triangle
826,827,planetă,planet
827,828,grabă,hurry
828,829,șef,chief
829,830,colonie,colony
830,831,ceas,clock
831,832,a mea,mine
832,833,cravată,tie
833,834,intra,enter
834,835,majoră,major
835,836,proaspăt,fresh
836,837,Cautare,search
837,838,trimite,send
838,839,galben,yellow
839,840,pistol,gun
840,841,permite,allow
841,842,print,print
842,843,mort,dead
843,844,loc,spot
844,845,deșert,desert
845,846,costum,suit
846,847,curent,current
847,848,lift,lift
848,840,a crescut,rose
849,850,ajunge,arrive
850,851,maestru,master
851,852,cale,track
852,853,părinte,parent
853,854,țărm,shore
854,855,divizare,division
855,856,foaie,sheet
856,857,substanță,substance
857,858,favoriza,favor
858,859,conecta,connect
859,860,Mesaj,post
860,861,petrece,spend
861,862,coardă,chord
862,863,grăsime,fat
863,864,bucuros,glad
864,865,originală,original
865,866,acțiune,share
866,867,stație,station
867,868,tata,dad
868,869,pâine,bread
869,870,încărca,charge
870,871,corespunzătoare,proper
871,872,bar,bar
872,873,oferta,offer
873,874,segment,segment
874,875,sclav,slave
875,876,rață,duck
876,877,instantaneu,instant
877,878,piață,market
878,879,grad,degree
879,880,popula,populate
880,881,pui,chick
881,882,draga,dear
882,883,inamic,enemy
883,884,raspunde,reply
884,885,băutură,drink
885,886,avea loc,occur
886,887,suport,support
887,888,discurs,speech
888,889,natura,nature
889,890,gama,range
890,891,abur,steam
891,892,mișcare,motion
892,893,cale,path
893,894,lichid,liquid
894,895,log,log
895,896,însemnat,meant
896,897,coeficient,quotient
897,898,dinți,teeth
898,899,coajă,shell
899,900,gât,neck
