,Number,Romanian,English
700,701,copil,baby
701,702,opt,eight
702,703,sat,village
703,704,întâlni,meet
704,705,rădăcină,root
705,706,cumpăra,buy
706,707,ridica,raise
707,708,rezolva,solve
708,709,de metal,metal
709,710,dacă,whether
710,711,apăsare,push
711,712,șapte,seven
712,713,punctul,paragraph
713,714,a treia,third
714,715,trebuie,shall
715,716,ținută,held
716,717,păr,hair
717,718,descrie,describe
718,719,bucătar,cook
719,720,etaj,floor
720,721,fie,either
721,722,rezultat,result
722,723,arde,burn
723,724,deal,hill
724,725,în condiții de siguranță,safe
725,726,pisică,cat
726,727,secol,century
727,728,ia în considerare,consider
728,729,tipul,type
729,730,lege,law
730,731,bit,bit
731,732,coasta,coast
732,733,copie,copy
733,734,frază,phrase
734,735,tăcut,silent
735,736,înalt,tall
736,737,nisip,sand
737,738,sol,soil
738,739,rulou,roll
739,740,temperatură,temperature
740,741,deget,finger
741,742,industrie,industry
742,743,valoare,value
743,744,lupta,fight
744,745,minciună,lie
745,746,bate,beat
746,747,excita,excite
747,748,natural,natural
748,749,vedere,view
749,750,sens,sense
750,751,de capital,capital
751,752,nu va,won’t
752,753,scaun,chair
753,754,pericol,danger
754,755,fructe,fruit
755,756,bogat,rich
756,757,gros,thick
757,758,soldat,soldier
758,759,proces,process
759,760,opera,operate
760,761,practica,practice
761,762,separată,separate
762,763,dificil,difficult
763,764,medicul,doctor
764,765,vă rog,please
765,766,proteja,protect
766,767,amiază,noon
767,768,cultură,crop
768,769,modernă,modern
769,770,element,element
770,771,lovit,hit
771,772,elev,student
772,773,colț,corner
773,774,partid,party
774,775,aprovizionare,supply
775,776,a cărui,whose
776,777,localiza,locate
777,778,inel,ring
778,779,caracter,character
779,780,insectă,insect
780,781,prins,caught
781,782,perioada,period
782,783,indica,indicate
783,784,Radio,radio
784,785,a vorbit,spoke
785,786,atomul,atom
786,787,uman,human
787,788,istorie,history
788,789,efect,effect
789,790,electric,electric
790,791,aștepta,expect
791,792,os,bone
792,793,feroviar,rail
793,794,imagina,imagine
794,795,furniza,provide
795,796,acord,agree
796,797,"astfel,",thus
797,798,blând,gentle
798,799,femeie,woman
799,800,căpitan,captain
