,Number,Romanian,English
100,101,orice,any
101,102,nou,new
102,103,locul de muncă,work
103,104,parte,part
104,105,ia,take
105,106,obține,get
106,107,loc,place
107,108,a făcut,made
108,109,trăi,live
109,110,unde,where
110,111,după,after
111,112,înapoi,back
112,113,mic,little
113,114,numai,only
114,115,rotund,round
115,116,om,man
116,117,an,year
117,118,a venit,came
118,119,spectacol,show
119,120,fiecare,every
120,121,bun,good
121,122,mi-,me
122,123,da,give
123,124,nostru,our
124,125,sub,under
125,126,nume,name
126,127,foarte,very
127,128,prin,through
128,129,doar,just
129,130,formă,form
130,131,propoziție,sentence
131,132,mare,great
132,133,cred,think
133,134,spune,say
134,135,ajuta,help
135,136,scăzut,low
136,137,linie,line
137,138,diferă,differ
138,139,"rândul său,",turn
139,140,cauza,cause
140,141,mult,much
141,142,Adică,mean
142,143,înainte,before
143,144,mișcare,move
144,145,dreapta,right
145,146,băiat,boy
146,147,vechi,old
147,148,prea,too
148,149,același,same
149,150,ea,she
150,151,toate,all
151,152,acolo,there
152,153,când,when
153,154,în sus,up
154,155,utilizare,use
155,156,dumneavoastră,your
156,157,cale,way
157,158,despre,about
158,159,multe,many
159,160,apoi,then
160,161,lor,them
161,162,Trimite,write
162,163,ar,would
163,164,ca,like
164,165,așa,so
165,166,acestea,these
166,167,ei,her
167,168,lung,long
168,169,face,make
169,170,lucru,thing
170,171,vezi,see
171,172,l,him
172,173,două,two
173,174,are,has
174,175,uita-te,look
175,176,mai mult,more
176,177,zi,day
177,178,ar putea,could
178,179,merge,go
179,180,vin,come
180,181,a făcut,did
181,182,număr,number
182,183,sunet,sound
183,184,nu,no
184,185,cel mai,most
185,186,oameni,people
186,187,meu,my
187,188,peste,over
188,189,cunoaște,know
189,190,de apă,water
190,191,decât,than
191,192,apel,call
192,193,primul,first
193,194,care,who
194,195,putea,may
195,196,jos,down
196,197,lateral,side
197,198,fost,been
198,199,acum,now
199,200,găsi,find
