,Number,Romanian,English
900,901,oxigen,oxygen
901,902,zahăr,sugar
902,903,moarte,death
903,904,destul de,pretty
904,905,calificare,skill
905,906,femei,women
906,907,sezon,season
907,908,soluție,solution
908,909,magnet,magnet
909,910,argint,silver
910,911,multumesc,thank
911,912,ramură,branch
912,913,meci,match
913,914,sufix,suffix
914,915,mai ales,especially
915,916,fig,fig
916,917,speriat,afraid
917,918,uriaș,huge
918,919,sora,sister
919,920,oțel,steel
920,921,discuta,discuss
921,922,înainte,forward
922,923,similare,similar
923,924,ghid,guide
924,925,experiență,experience
925,926,scor,score
926,927,măr,apple
927,928,cumpărat,bought
928,929,a condus,led
929,930,Pitch,pitch
930,931,strat,coat
931,932,masa,mass
932,933,carte,card
933,934,band,band
934,935,frânghie,rope
935,936,alunecare,slip
936,937,victorie,win
937,938,vis,dream
938,939,seară,evening
939,940,condiție,condition
940,941,hrana pentru animale,feed
941,942,instrument,tool
942,943,totală,total
943,944,de bază,basic
944,945,miros,smell
945,946,vale,valley
946,947,nici,nor
947,948,dublu,double
948,949,scaun,seat
949,950,continua,continue
950,951,bloc,block
951,952,diagramă,chart
952,953,pălărie,hat
953,954,vinde,sell
954,955,succesul,success
955,956,compania,company
956,957,scădea,subtract
957,958,eveniment,event
958,959,special,particular
959,960,afacere,deal
960,961,înot,swim
961,962,termen,term
962,963,opus,opposite
963,964,soție,wife
964,965,pantof,shoe
965,966,umăr,shoulder
966,967,răspândire,spread
967,968,aranja,arrange
968,969,tabără,camp
969,970,inventa,invent
970,971,bumbac,cotton
971,972,Născut,born
972,973,determina,determine
973,974,quart,quart
974,975,nouă,nine
975,976,camion,truck
976,977,zgomot,noise
977,978,nivel,level
978,979,șansă,chance
979,980,aduna,gather
980,981,magazin,shop
981,982,întindere,stretch
982,983,arunca,throw
983,984,strălucire,shine
984,985,proprietate,property
985,986,coloana,column
986,987,moleculă,molecule
987,988,selectați,select
988,989,greșit,wrong
989,990,gri,gray
990,991,repeta,repeat
991,992,necesita,require
992,993,larg,broad
993,994,pregăti,prepare
994,995,sare,salt
995,996,nas,nose
996,997,plural,plural
997,998,furie,anger
998,999,revendicare,claim
999,1000,continentului,continent
