,Number,Romanian,English
600,601,melodie,melody
601,602,excursie,trip
602,603,birou,office
603,604,primi,receive
604,605,rând,row
605,606,gura,mouth
606,607,exactă,exact
607,608,simbol,symbol
608,609,muri,die
609,610,puțin,least
610,611,probleme,trouble
611,612,strigăt,shout
612,613,cu excepția,except
613,614,scris,wrote
614,615,semințe,seed
615,616,ton,tone
616,617,se alăture,join
617,618,sugerează,suggest
618,619,curat,clean
619,620,pauză,break
620,621,doamnă,lady
621,622,curte,yard
622,623,crește,rise
623,624,rău,bad
624,625,lovitură,blow
625,626,ulei,oil
626,627,sânge,blood
627,628,atingeți,touch
628,629,a crescut,grew
629,630,sută,cent
630,631,amesteca,mix
631,632,echipa,team
632,633,sârmă,wire
633,634,costul,cost
634,635,pierdut,lost
635,636,maro,brown
636,637,uzură,wear
637,638,grădină,garden
638,639,egal,equal
639,640,trimis,sent
640,641,alege,choose
641,642,căzut,fell
642,643,potrivi,fit
643,644,flux,flow
644,645,corect,fair
645,646,bancă,bank
646,647,colecta,collect
647,648,salva,save
648,649,de control,control
649,650,zecimal,decimal
650,651,ureche,ear
651,652,altceva,else
652,653,destul de,quite
653,654,rupt,broke
654,655,caz,case
655,656,de mijloc,middle
656,657,ucide,kill
657,658,fiu,son
658,659,lac,lake
659,660,clipă,moment
660,661,scară,scale
661,662,tare,loud
662,663,arc,spring
663,664,observa,observe
664,665,copil,child
665,666,drept,straight
666,667,consoană,consonant
667,668,națiune,nation
668,669,Dicționar,dictionary
669,670,lapte,milk
670,671,viteza,speed
671,672,metoda,method
672,673,organ,organ
673,674,plăti,pay
674,675,vârstă,age
675,676,secțiune,section
676,677,rochie,dress
677,678,nor,cloud
678,679,surpriză,surprise
679,680,liniștit,quiet
680,681,piatră,stone
681,682,minuscul,tiny
682,683,urcare,climb
683,684,rece,cool
684,685,proiectare,design
685,686,sărac,poor
686,687,lot,lot
687,688,experimentul,experiment
688,689,de jos,bottom
689,690,cheie,key
690,691,fier,iron
691,692,singur,single
692,693,băț,stick
693,694,plat,flat
694,695,douăzeci,twenty
695,696,piele,skin
696,697,zâmbet,smile
697,698,cutelor,crease
698,699,gaură,hole
699,700,salt,jump
