,Number,Romanian,English
200,201,cap,head
201,202,stand,stand
202,203,propriu,own
203,204,pagina,page
204,205,ar trebui,should
205,206,țară,country
206,207,găsite,found
207,208,răspuns,answer
208,209,școală,school
209,210,crește,grow
210,211,studiu,study
211,212,încă,still
212,213,învăța,learn
213,214,plantă,plant
214,215,capac,cover
215,216,alimente,food
216,217,soare,sun
217,218,patru,four
218,219,între,between
219,220,de stat,state
220,221,păstra,keep
221,222,ochi,eye
222,223,niciodată,never
223,224,trecut,last
224,225,lăsa,let
225,226,gând,thought
226,227,oraș,city
227,228,copac,tree
228,229,cruce,cross
229,230,fermă,farm
230,231,greu,hard
231,232,Start,start
232,233,s-ar putea,might
233,234,poveste,story
234,235,ferăstrău,saw
235,236,mult,far
236,237,mare,sea
237,238,trage,draw
238,239,stânga,left
239,240,târziu,late
240,241,a alerga,run
241,242,nu face,don’t
242,243,în timp ce,while
243,244,presă,press
244,245,aproape,close
245,246,noapte,night
246,247,reală,real
247,248,viață,life
248,249,puțini,few
249,250,nord,north
250,251,carte,book
251,252,efectueze,carry
252,253,a luat,took
253,254,știință,science
254,255,mânca,eat
255,256,cameră,room
256,257,prieten,friend
257,258,început,began
258,259,idee,idea
259,260,pește,fish
260,261,munte,mountain
261,262,opri,stop
262,263,dată,once
263,264,de bază,base
264,265,auzi,hear
265,266,cal,horse
266,267,cut,cut
267,268,sigur,sure
268,269,ceas,watch
269,270,culoare,color
270,271,fata,face
271,272,lemn,wood
272,273,principal,main
273,274,deschis,open
274,275,par,seem
275,276,împreună,together
276,277,următor,next
277,278,alb,white
278,279,copii,children
279,280,începe,begin
280,281,am,got
281,282,de mers pe jos,walk
282,283,exemplu,example
283,284,ușura,ease
284,285,hârtie,paper
285,286,grup,group
286,287,întotdeauna,always
287,288,muzica,music
288,289,aceste,those
289,290,atât,both
290,291,marcă,mark
291,292,de multe ori,often
292,293,scrisoare,letter
293,294,până la,until
294,295,milă,mile
295,296,râu,river
296,297,masina,car
297,298,picioare,feet
298,299,îngrijire,care
299,300,al doilea,second
