,Dutch
0,wellicht
1,gedronken
2,daarheen
3,herken
4,gas
5,knieën
6,ontdekken
7,bedoeld
8,verbonden
9,smaak
10,job
11,reactie
12,bescherming
13,bevelen
14,vervangen
15,huh
16,tellen
17,mogelijkheid
18,moeilijke
19,Nathan
20,achterlaten
21,voorstel
22,afspraakje
23,Angeles
24,vlieg
25,dekking
26,wed
27,ho
28,pillen
29,Europa
30,wetenschap
31,naakt
32,pauze
33,vrees
34,schrijft
35,waarde
36,priester
37,natuur
38,pik
39,binnenkomen
40,detective
41,gerust
42,maandag
43,volledige
44,beer
45,meerdere
46,heks
47,assistent
48,eeuw
49,toegeven
50,spring
51,verhuizen
52,vermoordde
53,verstoppen
54,brood
55,bemanning
56,troepen
57,zwijg
58,zondag
59,dienen
60,Rose
61,Roger
62,opgenomen
63,oosten
64,gescheiden
65,plus
66,ademen
67,aanbod
68,wensen
69,doei
70,gekend
71,aanbieden
72,politiek
73,Russische
74,Morgan
75,genade
76,gewend
77,internet
78,buren
79,opgelost
80,pizza
81,dek
82,grijp
83,eenzaam
84,vervelend
85,leugens
86,erheen
87,keizer
88,verslag
89,wild
90,telt
91,nachtmerrie
92,horloge
93,staten
94,bewerkt
95,vals
96,bezoeken
97,leert
98,min
99,seconde
