,Dutch,POS,Translation
0,ik,Pronoun,I
1,je,Pronoun,you
2,het,Determiner,It
3,de,Determiner,the
4,dat,Conjunction,that
5,is,Auxiliary,is
6,een,Determiner,An
7,niet,Adverb,not
8,en,Conjunction,and
9,wat,Pronoun,what
10,van,Preposition,by
11,we,Pronoun,we
12,in,Preposition,in
13,ze,Pronoun,she
14,hij,Pronoun,he
15,op,Preposition,on
16,te,Preposition,at
17,zijn,Auxiliary,are
18,er,Adverb,there
19,maar,Conjunction,but
20,die,Pronoun,That
21,heb,Auxiliary,have
22,me,Pronoun,me
23,met,Preposition,of
24,voor,Preposition,for
25,als,Conjunction,as
26,ben,Auxiliary,am
27,was,Auxiliary,used to be
28,dit,Pronoun,this
29,mijn,Pronoun,mine
30,om,Preposition,to
31,aan,Preposition,On
32,jij,Pronoun,you
33,naar,Preposition,Unpleasant
34,dan,Conjunction,than
35,hier,Adverb,here
36,weet,Verb,know
37,kan,Auxiliary,can
38,geen,Determiner,no
39,nog,Adverb,yet
40,moet,Auxiliary,must
41,wil,Verb,want to
42,wel,Adverb,well
43,ja,Interjection,Yes
44,zo,Adverb,Like this
45,heeft,Auxiliary,has
46,hebben,Auxiliary,to have
47,hem,Pronoun,it
48,goed,Adjective,Good
49,nee,Interjection,no
50,waar,Adverb,Where
51,nu,Adverb,now
52,hoe,Adverb,how
53,ga,Verb,go
54,haar,Pronoun,her
55,uit,Preposition,out
56,doen,Verb,doing
57,ook,Adverb,also
58,over,Preposition,about
59,bent,Auxiliary,are
60,mij,Pronoun,me
61,gaan,Verb,to go
62,of,Conjunction,or
63,kom,Verb,come
64,zou,Auxiliary,would
65,al,Adverb,already
66,bij,Preposition,bee
67,daar,Adverb,over there
68,ons,Pronoun,us
69,jullie,Pronoun,you
70,hebt,Verb,have
71,gaat,Verb,go
72,iets,Pronoun,something
73,zal,Auxiliary,shall
74,meer,Pronoun,more
75,waarom,Adverb,Why
76,had,Auxiliary,had
77,deze,Pronoun,this
78,laat,Verb,leave
79,moeten,Auxiliary,must
80,m'n,Pronoun,my
81,jou,Pronoun,you
82,doe,Verb,do
83,wie,Pronoun,Who
84,kunnen,Auxiliary,be able to
85,alles,Pronoun,everything
86,denk,Verb,think
87,door,Preposition,Through
88,echt,Adjective,Real
89,alleen,Adverb,only
90,oké,Proper noun,Okay
91,eens,Adverb,at sometime
92,dus,Adverb,So
93,weg,Adverb,away
94,zien,Verb,to see
95,toch,Adverb,However
96,man,Noun,man
97,nooit,Adverb,never
98,terug,Adverb,back
99,laten,Verb,to leave
