,Dutch
0,dief
1,moordenaars
2,hoogheid
3,poging
4,Jesse
5,materiaal
6,toestand
7,amper
8,voorlopig
9,veilige
10,verloofde
11,daarin
12,slet
13,Texas
14,oefenen
15,Franse
16,woonde
17,prettige
18,voordeel
19,eindigt
20,vliegt
21,verdediging
22,vanochtend
23,zielig
24,Wilson
25,woestijn
26,apparaat
27,rat
28,kocht
29,lossen
30,diner
31,cliënt
32,feite
33,verkoopt
34,idioten
35,komende
36,plegen
37,kaartje
38,-ste
39,dier
40,waarschuwing
41,verbinding
42,dichter
43,wijze
44,pensioen
45,Afrika
46,winnaar
47,drinkt
48,scheelt
49,doodde
50,lieten
51,smerig
52,bewakers
53,klok
54,oor
55,verzet
56,stijl
57,richten
58,invloed
59,opgepakt
60,mogelijke
61,spelletjes
62,kerstman
63,markt
64,bewaren
65,brieven
66,studenten
67,varken
68,komst
69,lelijk
70,centrum
71,vijftien
72,kaas
73,genie
74,valse
75,donkere
76,huur
77,VS
78,verdween
79,overtuigd
80,aangezien
81,cijfers
82,overwinning
83,behandeling
84,belofte
85,bekeken
86,breekt
87,jarige
88,training
89,artikel
90,stelletje
91,kloppen
92,maakten
93,verrast
94,beroep
95,honderden
96,zette
97,waardeloos
98,rechtbank
99,Robin
