,Dutch,POS,Translation
500,slapen,Verb,to sleep
501,ver,Adjective,far
502,reden,Noun,rode
503,fout,Noun,wrong
504,vallen,Verb,traps
505,maanden,Noun,months
506,mogen,Auxiliary,to be allowed to
507,oud,Adjective,old
508,vergeet,Adjective,forgets
509,voelt,Verb,feels
510,vent,Verb,guy
511,sir,Proper noun,sir
512,hoorde,Verb,heard
513,hoort,Verb,belongs
514,klinkt,Verb,sounds
515,terwijl,Conjunction,while
516,vriendin,Noun,female friend
517,welkom,Noun,welcome
518,team,Noun,team
519,rond,Preposition,round
520,president,Noun,president
521,oorlog,Noun,war
522,duidelijk,Adjective,clearly
523,jaren,Noun,years
524,rest,Noun,rest
525,schuld,Noun,debt
526,avond,Noun,evening
527,eerlijk,Adjective,honestly
528,fijn,Adjective,fine
529,mond,Noun,mouth
530,buurt,Noun,neighbourhood
531,drinken,Verb,drinks
532,telefoon,Noun,telephone
533,per,Preposition,per
534,wapen,Noun,weapon
535,liet,Verb,left
536,belangrijk,Adjective,important
537,kreeg,Verb,got
538,ouders,Noun,parents
539,stuk,Noun,piece
540,rust,Noun,peace
541,vandaan,Preposition,from
542,kennen,Verb,know
543,Jezus,Proper noun,Jesus
544,deel,Noun,part
545,baan,Noun,track
546,kapitein,Noun,captain
547,erop,Adverb,on top
548,geluk,Noun,luck
549,dezelfde,Adjective,the same
550,overal,Adverb,everywhere
551,schip,Noun,ship
552,heren,Noun,Gentlemen
553,gegeven,Verb,datum
554,anderen,Adjective,others
555,zeer,Adverb,very
556,langs,Preposition,by
557,mam,Noun,Mom
558,recht,Noun,straight
559,lichaam,Noun,body
560,aardig,Adjective,nice
561,vertrouwen,Noun,to trust
562,ermee,Adverb,with it
563,neemt,Verb,takes
564,vanaf,Preposition,from
565,vaak,Adjective,often
566,boek,Noun,book
567,mezelf,Pronoun,myself
568,zetten,Verb,to make
569,stil,Adjective,quiet
570,ok,Symbol,OK
571,kerel,Noun,guy
572,betalen,Verb,pay
573,geval,Noun,case
574,miljoen,Noun,million
575,tweede,Adjective,second
576,haat,Noun,hate
577,hard,Adjective,hard
578,inderdaad,Adverb,indeed
579,woord,Noun,word
580,stond,Verb,was standing
581,hond,Noun,dog
582,straks,Adverb,soon
583,weken,Noun,to soften
584,film,Noun,movie
585,antwoord,Noun,answer
586,veranderen,Verb,change
587,licht,Noun,light
588,houd,Verb,loves
589,pa,Noun,dad
590,tijdens,Preposition,during the day
591,lieverd,Verb,Darling
592,liever,Adverb,rather
593,kwaad,Noun,angry
594,ontmoet,Verb,meet
595,nergens,Adverb,nowhere
596,gebruikt,Verb,used
597,schatje,Noun,baby
598,verloren,Verb,lost
599,koning,Noun,king
