,Dutch,POS,Translation
800,geest,Noun,spirit
801,gingen,Verb,used to go
802,straat,Noun,street
803,slechts,Adverb,only
804,verkeerde,Adjective,wrong
805,slaan,Verb,to beat
806,FBI,Proper noun,FBI
807,afgelopen,Verb,last
808,hotel,Noun,hotel
809,bekend,Adjective,known
810,ene,Pronoun,one
811,ruimte,Noun,room
812,lange,Adjective,long
813,trouwens,Adverb,Incidentally
814,feest,Noun,party
815,vliegen,Verb,to fly
816,boot,Noun,boat
817,meester,Noun,master
818,doel,Noun,goal
819,zolang,Conjunction,so long
820,regels,Noun,lines
821,stomme,Adjective,stupid
822,begonnen,Verb,started
823,zak,Noun,bag
824,absoluut,Adjective,absolute
825,spreek,Verb,speak
826,stom,Verb,stupid
827,bestaat,Verb,consists
828,welk,Determiner,which
829,gevaarlijk,Adjective,dangerous
830,jawel,Adverb,Yes
831,mocht,Auxiliary,was allowed
832,goedemorgen,Noun,Good morning
833,wilden,Verb,wild ones
834,erger,Adjective,worse
835,vreselijk,Adjective,horrible
836,zodra,Conjunction,as soon
837,geraakt,Verb,touched
838,nadat,Conjunction,once
839,vertrouw,Noun,trust
840,kolonel,Noun,colonel
841,voelde,Verb,felt
842,kleren,Verb,clothes
843,rug,Noun,back
844,naast,Preposition,next
845,totdat,Conjunction,until
846,verliefd,Adjective,in love
847,lukt,Verb,succeeds
848,wonen,Verb,to live
849,lieve,Adjective,dear
850,gaten,Noun,holes
851,raar,Adjective,weird
852,geprobeerd,Verb,tried
853,geleerd,Verb,learned
854,erover,Adverb,about it
855,raad,Noun,council
856,volg,Verb,follow
857,verkopen,Verb,to sell
858,geweldige,Adjective,great
859,zover,Adverb,as far
860,red,Proper noun,ed
861,woont,Verb,lives
862,Amerika,Proper noun,America
863,lul,Proper noun,dick
864,gedacht,Verb,thought
865,bewijzen,Verb,prove
866,prijs,Noun,price
867,www,Noun,www
868,raken,Verb,touch
869,voorstellen,Verb,to suggest
870,vorige,Adjective,previous
871,regel,Noun,rule
872,schrijven,Verb,to write
873,rot,Adjective,rot
874,gebouw,Noun,building
875,trekken,Verb,Pull
876,herinneren,Verb,to remind
877,dansen,Verb,dancing
878,gebracht,Verb,brought
879,meeste,Adverb,most
880,koud,Adjective,cold
881,jammer,Adjective,Shame
882,wegwezen,Noun,get out
883,macht,Noun,power
884,drugs,Noun,drugs
885,geboren,Verb,born
886,dragen,Verb,wear
887,keuze,Noun,choice
888,gefeliciteerd,Verb,congratulations
889,situatie,Noun,situation
890,missen,Verb,to miss
891,honger,Noun,hungry
892,betaald,Verb,paid
893,liefje,Noun,Darling
894,duurt,Verb,takes
895,schelen,Noun,care
896,kaart,Noun,card
897,rij,Noun,queue
898,bal,Noun,ball
899,werkte,Verb,worked
