,Dutch
0,herinnering
1,koninkrijk
2,bewaker
3,bommen
4,koos
5,lunchen
6,dringend
7,verliet
8,Florida
9,bravo
10,lading
11,Lincoln
12,middernacht
13,handelen
14,terugtrekken
15,bepalen
16,illegaal
17,verander
18,geweren
19,samenwerken
20,partij
21,levende
22,botten
23,brein
24,leid
25,groots
26,grot
27,volgend
28,zacht
29,volkomen
30,klasse
31,zone
32,mannetje
33,rand
34,bied
35,smeerlap
36,handtekening
37,wauw
38,namelijk
39,beters
40,kerstfeest
41,bedreiging
42,betekend
43,centrale
44,vet
45,gedwongen
46,meld
47,ogenblik
48,Maggie
49,plotseling
50,zijde
51,lied
52,gooide
53,stoor
54,besloot
55,nieuwsgierig
56,dapper
57,fantastische
58,kalmeer
59,kanten
60,allang
61,leveren
62,gsm
63,magische
64,ontslaan
65,lafaard
66,Sophie
67,hek
68,hout
69,truc
70,bereik
71,negatief
72,huiswerk
73,machines
74,opruimen
75,klonk
76,Hollywood
77,schande
78,gezorgd
79,bewust
80,daaraan
81,plassen
82,toren
83,pakje
84,storen
85,merk
86,koopt
87,as
88,verdwijn
89,expert
90,Parker
91,partners
92,lokale
93,spannend
94,hebbes
95,angel
96,verdiende
97,beantwoorden
98,metro
99,besef
