,Dutch
0,ras
1,zekerheid
2,resultaat
3,geschikt
4,psychiater
5,ontspan
6,zekere
7,instructies
8,scène
9,dagboek
10,daarboven
11,gevoelig
12,overkant
13,interessante
14,beesten
15,organisatie
16,bekende
17,penis
18,student
19,tovenaar
20,commando
21,fort
22,tranen
23,gelegd
24,verstandig
25,verdachten
26,mijzelf
27,lacht
28,voorgoed
29,uitgeschakeld
30,blazen
31,verpesten
32,beet
33,geraken
34,meekomen
35,hartaanval
36,schoft
37,politieke
38,repareren
39,bierdopje
40,veroorzaken
41,zusje
42,Linda
43,at
44,herkennen
45,koekjes
46,schakel
47,personen
48,staart
49,optie
50,beschermd
51,schutter
52,lelijke
53,oost
54,gok
55,heleboel
56,geopend
57,admiraal
58,stress
59,teams
60,eeuwen
61,resultaten
62,vaste
63,geboorte
64,bevestigen
65,drukken
66,Britse
67,feesten
68,gevolgen
69,vers
70,Duitsland
71,beloofde
72,degenen
73,helden
74,little
75,uitziet
76,sneeuw
77,jungle
78,geruchten
79,proef
80,baby's
81,middel
82,Vietnam
83,gezichten
84,Angela
85,kopie
86,releases
87,slagen
88,flikker
89,aanslag
90,jedi
91,steunen
92,momenten
93,klere
94,flauw
95,won
96,schild
97,pijnlijk
98,chocolade
99,football
