,Dutch
0,stinkt
1,uiteraard
2,makker
3,vanmiddag
4,aangekomen
5,meedoen
6,minst
7,maag
8,route
9,omgaan
10,hoogste
11,verrader
12,indrukwekkend
13,mogelijkheden
14,Helen
15,gebaseerd
16,Nederlandse
17,verschuldigd
18,lever
19,scheiden
20,sprong
21,daarbinnen
22,wolf
23,whisky
24,lady
25,live
26,voldoende
27,onderzocht
28,universum
29,ontzettend
30,gevochten
31,Marshall
32,pop
33,lijf
34,douche
35,hieruit
36,junior
37,golf
38,Amerikaan
39,kut
40,model
41,geldt
42,seizoen
43,omlaag
44,nummers
45,trainen
46,mijl
47,jongeman
48,welnee
49,broertje
50,marine
51,pakte
52,wandelen
53,herstellen
54,robot
55,ongerust
56,vijftig
57,gegooid
58,duisternis
59,jochie
60,hi
61,hekel
62,doodgaan
63,Cole
64,briefje
65,tweeën
66,achteren
67,getekend
68,vlakbij
69,prettig
70,teef
71,schoten
72,eisen
73,schrijver
74,knop
75,sigaret
76,smerige
77,reageren
78,vloek
79,achterna
80,legende
81,stonden
82,ai
83,banden
84,branden
85,aangenomen
86,nul
87,borsten
88,Miles
89,hierover
90,bovenop
91,vampier
92,overeenkomst
93,brave
94,optreden
95,brak
96,gesteld
97,vuil
98,dinsdag
99,vergat
