,Dutch
0,duur
1,nogmaals
2,tuin
3,zaterdag
4,ondanks
5,wijs
6,behandelen
7,yo
8,ruik
9,gebouwd
10,liefste
11,bergen
12,aankomen
13,gave
14,pakt
15,ideeën
16,ontvoerd
17,verzoek
18,kast
19,Sean
20,geesten
21,orders
22,droeg
23,leugen
24,hielp
25,kerstmis
26,gelul
27,gedeelte
28,mevr.
29,ontmoette
30,edelachtbare
31,flat
32,tong
33,logisch
34,daardoor
35,controleer
36,stroom
37,afscheid
38,gevangenen
39,saai
40,Marcus
41,militaire
42,opgewonden
43,makkelijker
44,zuid
45,stenen
46,lieg
47,wc
48,herinneringen
49,badkamer
50,vuren
51,fuck
52,cadeau
53,dertig
54,verantwoordelijkheid
55,flink
56,biertje
57,officieel
58,tegenwoordig
59,belang
60,ronde
61,redenen
62,opgeven
63,Frankrijk
64,schreeuwen
65,eenvoudig
66,gekeken
67,kerst
68,aanraken
69,genieten
70,ontslag
71,verslagen
72,opgesloten
73,groen
74,heette
75,graf
76,bond
77,high
78,stand
79,aardige
80,raden
81,vinger
82,bomen
83,helikopter
84,manager
85,vrolijk
86,Dean
87,zicht
88,slaapkamer
89,verbrand
90,rekenen
91,kust
92,race
93,leraar
94,zonde
95,stof
96,pot
97,eieren
98,verdedigen
99,kanker
