,Dutch
0,schaam
1,vóór
2,probeerden
3,medisch
4,overheen
5,schilden
6,beschermt
7,versterking
8,ridder
9,experiment
10,vloot
11,veroorloven
12,versie
13,bewaking
14,bijzonders
15,levert
16,grijpen
17,lagen
18,Logan
19,achterkant
20,das
21,tip
22,bijten
23,afsluiten
24,gekwetst
25,trekker
26,Aaron
27,daad
28,justitie
29,go
30,gekost
31,september
32,blaas
33,stak
34,triest
35,beslissingen
36,miljard
37,gestoken
38,bijzondere
39,koorts
40,geneukt
41,vooruitgang
42,bot
43,teruggekomen
44,oefening
45,Irak
46,zoenen
47,zwakke
48,make-up
49,dorst
50,gemak
51,tijdelijk
52,Ellie
53,behoefte
54,media
55,casino
56,correct
57,zenuwachtig
58,spanning
59,strak
60,aantrekkelijk
61,rijbewijs
62,leerling
63,steden
64,ministerie
65,meende
66,cowboy
67,opgegeten
68,aanwijzingen
69,kloten
70,vice-
71,laden
72,jee
73,waarderen
74,minste
75,Collins
76,klinken
77,stukjes
78,maaltijd
79,relaties
80,omdraaien
81,gelegenheid
82,beschadigd
83,dollars
84,uitmaken
85,eigendom
86,sociale
87,aanwijzing
88,rechtstreeks
89,verdrietig
90,daden
91,ontworpen
92,zender
93,beantwoord
94,bagage
95,overleeft
96,schone
97,hierbij
98,emoties
99,weghalen
