,Dutch
0,rotzooi
1,moed
2,dichterbij
3,blanke
4,verbergen
5,gaaf
6,voorkomen
7,duivel
8,persoonlijke
9,bepaalde
10,Rome
11,rusten
12,juffrouw
13,fles
14,kaarten
15,dna
16,stappen
17,vrije
18,schijnt
19,favoriete
20,spelletje
21,broeder
22,coach
23,overkomen
24,poort
25,zomer
26,afgesproken
27,bron
28,advies
29,Pete
30,Jason
31,sukkel
32,geslapen
33,jaloers
34,kogels
35,kamp
36,zwak
37,gevolgd
38,vertrokken
39,stuurde
40,menselijke
41,klanten
42,lukken
43,Engeland
44,vingers
45,ziekte
46,vissen
47,CIA
48,Mexico
49,locatie
50,vangen
51,waardoor
52,nagedacht
53,gaven
54,medische
55,geloofde
56,mooiste
57,broers
58,tevreden
59,city
60,details
61,gereed
62,aangedaan
63,zojuist
64,menselijk
65,blik
66,verband
67,schot
68,punten
69,domme
70,vogel
71,project
72,trekt
73,stemmen
74,genoegen
75,burgemeester
76,genezen
77,gedachte
78,films
79,hoopte
80,doc
81,gebruikte
82,gelaten
83,voeren
84,bedenken
85,bekijk
86,verborgen
87,oplossing
88,donder
89,verdomd
90,laag
91,km
92,bak
93,speelde
94,verwachten
95,uitstekend
96,voedsel
97,arts
98,fouten
99,super
