,Dutch,POS,Translation
400,vond,Verb,found
401,praat,Verb,talk
402,prima,Adjective,fine
403,betekent,Verb,means
404,soort,Noun,kind
405,zaak,Noun,case
406,proberen,Verb,to attempt
407,jack,Proper noun,jack
408,spelen,Verb,to play
409,lekker,Adjective,Tasty
410,doden,Adjective,kill
411,gebruiken,Verb,to use
412,groot,Adjective,big
413,kent,Verb,knows
414,boven,Preposition,above
415,water,Noun,water
416,problemen,Noun,issues
417,land,Noun,country
418,sta,Verb,stand
419,later,Adjective,later
420,papa,Noun,Daddy
421,pakken,Verb,to take
422,week,Noun,week
423,schat,Verb,Darling
424,voordat,Conjunction,before
425,zoveel,Numeral,so much
426,vrij,Adjective,free
427,echte,Adjective,real
428,stoppen,Verb,fuses
429,klootzak,Noun,asshole
430,beginnen,Verb,to start
431,alstublieft,Adverb,Please
432,zodat,Conjunction,so that
433,zorg,Noun,concern
434,mooie,Adjective,nice
435,wees,Verb,orphan
436,vermoorden,Verb,murder
437,mis,Adjective,wrong
438,vooruit,Adverb,forward
439,bellen,Verb,to call
440,dochter,Noun,daughter
441,vrouwen,Noun,women
442,tien,Numeral,ten
443,hoeft,Verb,need
444,lopen,Verb,to walk
445,hart,Noun,heart
446,snap,Adjective,get it
447,voorbij,Adjective,past
448,los,Adjective,loose
449,vergeten,Verb,forget
450,gebeuren,Verb,to happen
451,bloed,Noun,blood
452,druk,Adjective,Busy
453,verhaal,Noun,story
454,moeilijk,Adjective,difficult
455,hoi,Proper noun,Hi
456,zes,Numeral,six
457,eerder,Adjective,earlier
458,neer,Preposition,down
459,ervan,Adverb,of it
460,bed,Noun,bed
461,nacht,Noun,night
462,bezig,Adjective,busy
463,wakker,Adjective,awake
464,redden,Verb,to rescue
465,klein,Adjective,small
466,gekomen,Verb,came
467,sinds,Preposition,since
468,kop,Noun,head
469,zult,Auxiliary,will
470,begrepen,Verb,understood
471,plek,Noun,place
472,veilig,Adjective,safe
473,stel,Noun,couple
474,vol,Preposition,full
475,nummer,Noun,number
476,waarheid,Noun,truth
477,zoiets,Pronoun,something like that
478,mevrouw,Noun,Madam
479,leren,Verb,to learn
480,hetzelfde,Adjective,the same
481,gaf,Verb,gave
482,baby,Noun,baby
483,baas,Noun,boss
484,gelukkig,Adjective,happy
485,meteen,Adverb,immediately
486,beneden,Preposition,downstairs
487,waarschijnlijk,Adjective,probably
488,sterven,Verb,die
489,gezicht,Noun,sight
490,begin,Noun,get started
491,mogelijk,Adjective,possible
492,mama,Noun,mom
493,dicht,Adjective,closed
494,zaken,Noun,Affairs
495,liggen,Verb,lie
496,nieuws,Noun,news
497,ander,Adjective,other
498,eraan,Adverb,to it
499,liefde,Noun,love
