,Dutch,POS,Translation
300,hen,Pronoun,them
301,stop,Noun,Stop
302,eigen,Adjective,own
303,kleine,Adjective,little
304,hoop,Noun,heap
305,wou,Verb,wish
306,vermoord,Verb,murdered
307,elke,Determiner,each
308,krijg,Verb,get
309,horen,Verb,to belong
310,gelijk,Adjective,directly
311,bijna,Adverb,almost
312,zouden,Auxiliary,would
313,open,Adjective,Open
314,orde,Noun,order
315,begrijp,Verb,understand
316,hoofd,Noun,head
317,gebeurt,Verb,happens
318,kant,Noun,side
319,vrienden,Noun,friends
320,houdt,Verb,holds
321,eigenlijk,Adjective,actually
322,alsof,Conjunction,as if
323,pak,Verb,business suit
324,geeft,Verb,gives
325,politie,Noun,Police
326,precies,Adjective,precisely
327,wachten,Verb,to wait
328,familie,Noun,family
329,verder,Adjective,further
330,zat,Verb,fed up
331,soms,Adverb,sometimes
332,werken,Verb,to work
333,bel,Verb,call
334,voel,Symbol,feel
335,kind,Noun,child
336,probeer,Verb,try
337,ding,Noun,thing
338,minuten,Noun,minutes
339,krijgt,Verb,gets
340,zet,Verb,sets
341,vijf,Numeral,five
342,gehad,Verb,had
343,haal,Verb,get
344,gemaakt,Verb,made
345,hè,Interjection,Hey
346,manier,Noun,way
347,dagen,Noun,to dawn
348,zoek,Adjective,search
349,heet,Verb,is called
350,volgende,Verb,next one
351,daarom,Adverb,therefore
352,gehoord,Verb,heard
353,pas,Adverb,fit
354,werkt,Verb,works
355,vanavond,Adverb,this evening
356,volgens,Preposition,according to
357,best,Adjective,best
358,pijn,Noun,pain
359,kans,Noun,opportunity
360,eruit,Adverb,out
361,help,Noun,Help
362,plaats,Noun,place
363,hoeveel,Numeral,how many
364,vroeg,Verb,asked
365,oude,Adjective,old
366,stad,Noun,city
367,zoeken,Verb,to search
368,ogen,Noun,eyes
369,jezelf,Pronoun,yourself
370,geloven,Verb,to believe
371,moment,Noun,moment
372,kamer,Noun,room
373,schiet,Verb,shoot
374,vier,Numeral,four
375,vindt,Verb,finds
376,word,Auxiliary,become
377,agent,Noun,agent
378,slecht,Adjective,bad
379,verteld,Verb,told
380,brengen,Verb,to take
381,blij,Adjective,pleased
382,hulp,Noun,staff
383,welke,Pronoun,which
384,blijft,Verb,stays
385,ligt,Verb,is
386,broer,Noun,brother
387,school,Noun,school
388,tussen,Preposition,between
389,deur,Noun,door
390,spreken,Verb,speak
391,plan,Noun,plan
392,dollar,Noun,dollar
393,handen,Noun,hands
394,ergens,Adverb,somewhere
395,dr.,Proper noun,Dr.
396,klopt,Verb,Correct
397,breng,Verb,bring
398,dokter,Noun,doctor
399,juist,Adjective,correct
