,Dutch
0,droomde
1,eikels
2,vrijgelaten
3,bloem
4,wreed
5,groeit
6,wall
7,gebeurtenissen
8,beslag
9,voortaan
10,gemerkt
11,achtergrond
12,keuzes
13,oproep
14,Willie
15,goedendag
16,bemoei
17,wetenschapper
18,kok
19,pikken
20,toestel
21,afval
22,Santa
23,criminelen
24,daag
25,naaien
26,verpleegster
27,rots
28,terugbrengen
29,crisis
30,uzelf
31,genaaid
32,Veronica
33,herkent
34,jonger
35,um
36,realiseerde
37,journalist
38,risico's
39,voertuig
40,overlevenden
41,karakter
42,besmet
43,Diego
44,loon
45,trouwt
46,machtige
47,volhouden
48,online
49,long
50,identificeren
51,oudste
52,Ned
53,pan
54,augustus
55,starfleet
56,centimeter
57,explosieven
58,greep
59,staf
60,duistere
61,toppers
62,gokken
63,gekleed
64,Mason
65,county
66,monica
67,studie
68,bevrijd
69,wii
70,neger
71,zenuwen
72,gereedschap
73,pissen
74,juni
75,mei
76,wonden
77,doodgeschoten
78,commentaar
79,periode
80,inpakken
81,temperatuur
82,verplicht
83,uitslag
84,frisse
85,langskomen
86,plastic
87,verspreid
88,goedkoop
89,tweeling
90,sectie
91,procedure
92,duw
93,actief
94,boze
95,jasje
96,ongelukkig
97,koelkast
98,infectie
99,behouden
