,Dutch
0,verkeer
1,rit
2,paspoort
3,verzekering
4,vandaar
5,jongetje
6,waanzin
7,bestellen
8,mobiel
9,vrouwelijke
10,doof
11,werkelijkheid
12,zusters
13,ruilen
14,kopje
15,Todd
16,Olivia
17,inclusief
18,gif
19,verzinnen
20,satelliet
21,betekenis
22,motoren
23,aard
24,paleis
25,hoeren
26,wachtte
27,bewijst
28,vullen
29,slimmer
30,ondergoed
31,uitvoeren
32,overnemen
33,uitkomen
34,Jessica
35,hoofdkwartier
36,goedemiddag
37,computers
38,getraind
39,rollen
40,leidde
41,longen
42,shuttle
43,duiken
44,it
45,scan
46,tenslotte
47,dure
48,middelen
49,raketten
50,bewustzijn
51,Hitler
52,stok
53,betrapt
54,Walker
55,brandt
56,datum
57,wijf
58,zielen
59,kreng
60,ogenblikje
61,morgenvroeg
62,federale
63,opgeblazen
64,halt
65,gele
66,woensdag
67,mobiele
68,eerlijke
69,ingehuurd
70,mulder
71,geladen
72,biedt
73,bijt
74,koe
75,etentje
76,bijeenkomst
77,katten
78,vrijen
79,kwart
80,coma
81,concentreer
82,snappen
83,link
84,aanklager
85,braaf
86,veiliger
87,beheersen
88,buitenlandse
89,plant
90,vloog
91,Miami
92,Sydney
93,slaaf
94,nl.
95,slaven
96,zeep
97,bloeden
98,spelers
99,arresteer
