,Dutch
0,financiële
1,langzamer
2,uitkomt
3,wenst
4,arrestatie
5,robots
6,enge
7,Tess
8,bevallen
9,operaties
10,kwetsen
11,diefstal
12,dieven
13,ontwikkeld
14,goedkope
15,klaarmaken
16,smeken
17,paus
18,straffen
19,schut
20,voorwaarden
21,asjeblieft
22,bestond
23,brachten
24,nadert
25,glorie
26,overdag
27,telefoonnummer
28,doorgaat
29,omgekomen
30,bestuur
31,auditie
32,lager
33,gekken
34,bood
35,begrip
36,generatie
37,wetenschappers
38,ademt
39,eenzame
40,beu
41,Stephen
42,trouwde
43,opties
44,hogere
45,hing
46,hakken
47,tekort
48,doorzoeken
49,handschoenen
50,draad
51,bingo
52,air
53,diensten
54,helm
55,eed
56,timing
57,instappen
58,korporaal
59,pappie
60,complete
61,bijeen
62,uitgevonden
63,district
64,leiders
65,speciaals
66,lokken
67,congres
68,blinde
69,uitstappen
70,compagnie
71,overleed
72,totale
73,stoute
74,baard
75,Thanksgiving
76,standaard
77,Halloween
78,kou
79,haren
80,schakelen
81,nachtmerries
82,jongedame
83,gezegend
84,Fransen
85,mazzel
86,legaal
87,falen
88,dog
89,Bourne
90,coke
91,serieuze
92,transport
93,tenen
94,Houston
95,salaris
96,offer
97,knopen
98,Gloria
99,respecteren
