,Dutch
0,vlees
1,richting
2,ruzie
3,verdient
4,gesloten
5,welterusten
6,belachelijk
7,rekening
8,verdorie
9,ach
10,monster
11,verrassing
12,rechter
13,ontsnappen
14,gasten
15,radio
16,energie
17,kennis
18,verlies
19,verschillende
20,tas
21,veiligheid
22,draagt
23,enig
24,voet
25,weekend
26,haalt
27,wijn
28,verschil
29,verkocht
30,stoel
31,commandant
32,gat
33,mes
34,beslissing
35,boom
36,glas
37,basis
38,schrijf
39,reet
40,knul
41,captain
42,der
43,verjaardag
44,geregeld
45,procent
46,neergeschoten
47,spoor
48,kilometer
49,bezorgd
50,opdracht
51,gevangen
52,hoek
53,vanmorgen
54,verandert
55,vis
56,waarvan
57,heilige
58,hoge
59,excuses
60,bedoelde
61,klas
62,kogel
63,simpel
64,hoogte
65,honden
66,waarmee
67,goud
68,wens
69,prachtige
70,zakken
71,eenmaal
72,kat
73,plaatsen
74,rood
75,sleutels
76,ware
77,onderzoeken
78,dachten
79,vrijheid
80,sprak
81,gooien
82,last
83,rivier
84,hiermee
85,noemt
86,blauwe
87,hoelang
88,tante
89,vele
90,soldaat
91,huilen
92,feit
93,programma
94,getuige
95,Tommy
96,begraven
97,gezeten
98,grap
99,Christus
