,Dutch
0,liep
1,vonden
2,hangt
3,sluiten
4,verdienen
5,helft
6,teveel
7,leeg
8,bleef
9,heerlijk
10,eraf
11,gelukt
12,helaas
13,stelen
14,benen
15,gezet
16,bekijken
17,boodschap
18,eikel
19,lift
20,been
21,gekocht
22,boeken
23,groter
24,opschieten
25,gevallen
26,donker
27,rechts
28,aandacht
29,slaat
30,ophouden
31,drink
32,slag
33,vannacht
34,gehaald
35,speciaal
36,meegenomen
37,koningin
38,godsnaam
39,speciale
40,test
41,geschiedenis
42,volledig
43,zulke
44,raakt
45,adres
46,alweer
47,meestal
48,park
49,regering
50,ouwe
51,bestaan
52,sheriff
53,dak
54,zwanger
55,gehouden
56,zelfmoord
57,vreemde
58,hopelijk
59,adem
60,vernietigen
61,betrokken
62,betaal
63,koop
64,nek
65,brug
66,bezoek
67,belt
68,kwalijk
69,ongelooflijk
70,bar
71,ijs
72,overleven
73,beiden
74,meenemen
75,gestorven
76,ontslagen
77,aantal
78,vuile
79,geweer
80,beurt
81,werkelijk
82,dichtbij
83,zwart
84,laatst
85,liegt
86,voeten
87,lees
88,wisten
89,zingen
90,toestemming
91,gestopt
92,zaten
93,kort
94,gepakt
95,knap
96,waarop
97,betere
98,ontdekt
99,doorgaan
