,Dutch
0,aanwezig
1,interesseert
2,meent
3,streek
4,beweegt
5,feiten
6,burgers
7,waarheen
8,hierin
9,interesse
10,eindigen
11,patiënten
12,schrikken
13,buik
14,stront
15,regen
16,technologie
17,rechten
18,muren
19,chauffeur
20,noord
21,garage
22,netjes
23,terrein
24,lekkere
25,olie
26,klap
27,date
28,graven
29,nationale
30,voorbeeld
31,besluit
32,hang
33,herhaal
34,champagne
35,oceaan
36,geur
37,zelfde
38,groeten
39,verandering
40,ruiken
41,vierde
42,waarschuwen
43,verdien
44,bord
45,ambulance
46,neerschieten
47,spiegel
48,hersens
49,momenteel
50,dubbele
51,omstandigheden
52,melden
53,sync
54,tegelijk
55,knappe
56,woede
57,leefde
58,nat
59,jury
60,groeien
61,wezens
62,russen
63,morgenochtend
64,wegens
65,kampioen
66,loog
67,accepteren
68,studeren
69,behandeld
70,tieten
71,ernaar
72,stopte
73,vormen
74,grotere
75,gedag
76,kist
77,ruil
78,engel
79,Edward
80,gods
81,bril
82,keel
83,lef
84,ervandoor
85,lichten
86,medelijden
87,tel
88,rijke
89,tunnel
90,haten
91,afgesloten
92,opzoeken
93,hal
94,terugkomt
95,slimme
96,wedden
97,lichamen
98,handel
99,huizen
