,Dutch
0,mankeert
1,opname
2,goeds
3,aanklacht
4,suiker
5,openbaar
6,crimineel
7,uitzien
8,soep
9,gericht
10,kruis
11,effect
12,helder
13,identiteit
14,bedenk
15,aanwezigheid
16,scherm
17,winter
18,dokters
19,droog
20,sprake
21,Chinese
22,mail
23,veroordeeld
24,Caesar
25,ingang
26,middag
27,hartstikke
28,Connor
29,smaakt
30,danken
31,kaartjes
32,kiest
33,wetten
34,velen
35,verklaart
36,televisie
37,rijd
38,Cooper
39,romantisch
40,ramen
41,verraad
42,zegen
43,vies
44,munitie
45,hete
46,voer
47,klagen
48,vriendinnen
49,wijst
50,bibliotheek
51,ondertussen
52,bevestigd
53,verdwijnt
54,draak
55,gevoeld
56,snelweg
57,ingewikkeld
58,bedrijven
59,gedurende
60,hut
61,nicht
62,plat
63,hielden
64,verwijderen
65,vliegtuigen
66,speelgoed
67,ofwel
68,negeren
69,uitzicht
70,jeetje
71,beloven
72,gecontroleerd
73,demon
74,gedraag
75,gooit
76,wegen
77,graaf
78,roze
79,realiteit
80,check
81,Lets
82,gewicht
83,attentie
84,warme
85,pest
86,beloning
87,eenheden
88,opleiding
89,snij
90,Gibbs
91,volgde
92,busje
93,watje
94,vergist
95,middelbare
96,moeilijker
97,opgegeven
98,ontdekte
99,schouder
