,Dutch
0,verenigde
1,verdriet
2,vijfde
3,Berlijn
4,vieze
5,bezorgen
6,teruggaan
7,straten
8,lippen
9,overleefd
10,gelukkige
11,breek
12,constant
13,scherp
14,proost
15,hoefde
16,april
17,ellende
18,sigaretten
19,vogels
20,overval
21,spion
22,tank
23,d'r
24,datje
25,benzine
26,Duitsers
27,zwijgen
28,cheque
29,kasteel
30,begreep
31,verplaatsen
32,stelde
33,durft
34,dossiers
35,winst
36,mammie
37,gewild
38,lig
39,godzijdank
40,kansen
41,concentreren
42,lege
43,vertrouwt
44,verdacht
45,goedenacht
46,allerlei
47,Chinees
48,roept
49,weggaat
50,kleed
51,bevrijden
52,merken
53,Derek
54,haven
55,plekken
56,gelopen
57,verwachtte
58,fabriek
59,ontspannen
60,beweeg
61,stal
62,maling
63,verdwaald
64,donderdag
65,doorlopen
66,advocaten
67,kamers
68,verzamelen
69,daarop
70,duwen
71,Boston
72,sport
73,onbekende
74,onderhandelen
75,smeris
76,opeten
77,waarschuw
78,weggegaan
79,zijne
80,museum
81,geschenk
82,vertrok
83,puur
84,eventjes
85,voort
86,meegaan
87,Gordon
88,beroemd
89,gemeenschap
90,gevaarlijke
91,iemands
92,briljant
93,koude
94,snelle
95,alcohol
96,achterin
97,collega's
98,broeders
99,gezellig
