,Dutch
0,wijzen
1,vingerafdrukken
2,bleek
3,maagd
4,camera's
5,China
6,personeel
7,minstens
8,schitterend
9,diegene
10,starten
11,geheel
12,jeugd
13,berichten
14,mensheid
15,gepland
16,ramp
17,onderwerp
18,Californië
19,zwembad
20,explosie
21,ha
22,duurde
23,noch
24,sliep
25,redelijk
26,excuus
27,moge
28,smeek
29,geintje
30,pen
31,terroristen
32,boerderij
33,belangrijker
34,burger
35,doodt
36,overtuigen
37,nep
38,diamanten
39,aap
40,ophangen
41,verderop
42,jacht
43,masker
44,mars
45,onthouden
46,kleding
47,schaduw
48,overkomt
49,bovendien
50,Duitse
51,fearless
52,walgelijk
53,amen
54,richt
55,dwars
56,vriendschap
57,7Up
58,slang
59,gouverneur
60,touw
61,onthoud
62,daarbij
63,zand
64,plicht
65,trok
66,wegkomt
67,onschuldige
68,collega
69,onszelf
70,voorbereid
71,haalde
72,Greg
73,verwijderd
74,veranderde
75,gunst
76,okee
77,leden
78,wassen
79,win
80,gepleegd
81,snijden
82,Frans
83,reputatie
84,teleurgesteld
85,letten
86,uniform
87,verklaren
88,monsters
89,fan
90,bruid
91,overheid
92,enterprise
93,gewaarschuwd
94,daarbuiten
95,daarover
96,leest
97,gezondheid
98,geliefde
99,ontmoeting
