,Dutch,POS,Translation
100,nou,Adverb,Well
101,mee,Preposition,along
102,misschien,Adverb,maybe
103,even,Adverb,for a bit
104,iemand,Pronoun,someone
105,komt,Verb,comes
106,niets,Pronoun,nothing
107,zei,Verb,said
108,hou,Verb,love
109,komen,Verb,come
110,mensen,Noun,people
111,onze,Pronoun,our
112,nodig,Adjective,necessary
113,tot,Preposition,until
114,worden,Auxiliary,become
115,veel,Pronoun,a lot of
116,weten,Verb,know
117,leven,Noun,to live
118,wij,Pronoun,We
119,weer,Adverb,weather
120,gewoon,Adjective,Ordinary
121,kijk,Verb,look
122,zeggen,Verb,say
123,tijd,Noun,time
124,zeg,Verb,say
125,twee,Numeral,two
126,toen,Conjunction,when
127,tegen,Preposition,in return for
128,zit,Verb,sit
129,net,Adverb,just
130,dood,Noun,dead
131,uw,Pronoun,your
132,wordt,Auxiliary,is becoming
133,hé,Interjection,Hey
134,maken,Verb,to make
135,mag,Auxiliary,allowed
136,één,Numeral,An
137,z'n,Pronoun,his
138,omdat,Conjunction,because
139,gedaan,Verb,done
140,heel,Adjective,all
141,af,Preposition,off
142,altijd,Adverb,always
143,jouw,Pronoun,your
144,zeker,Adjective,Certainly
145,geef,Verb,give
146,zie,Verb,see
147,wacht,Verb,guard
148,allemaal,Adverb,all
149,jaar,Noun,year
150,doet,Verb,do
151,dag,Noun,day
152,zij,Pronoun,she
153,hun,Pronoun,their
154,huis,Noun,house
155,vader,Noun,father
156,dank,Noun,thanks
157,dacht,Verb,thought
158,kunt,Auxiliary,can
159,zoals,Conjunction,as
160,vrouw,Noun,woman
161,keer,Noun,time
162,anders,Adverb,otherwise
163,andere,Adjective,Others
164,willen,Verb,want
165,erg,Adjective,terribly
166,spijt,Noun,sorry
167,bedankt,Verb,Thank you
168,niemand,Pronoun,no one
169,wilt,Verb,want
170,geld,Noun,money
171,zitten,Verb,to sit
172,niks,Pronoun,nothing
173,iedereen,Pronoun,everyone
174,binnen,Preposition,inside
175,staat,Verb,stands
176,wilde,Verb,wild
177,zich,Pronoun,himself
178,beter,Adjective,better
179,werk,Noun,work
180,praten,Verb,to talk
181,gezien,Verb,seen
182,zullen,Auxiliary,shall
183,waren,Auxiliary,goods
184,god,Noun,God
185,maak,Verb,make
186,neem,Verb,take
187,vinden,Verb,find
188,vind,Verb,find
189,moeder,Noun,mother
190,kon,Auxiliary,could
191,uur,Noun,o'clock
192,klaar,Adjective,finished
193,genoeg,Adverb,enough
194,helpen,Verb,to help
195,oh,Pronoun,Oh
196,hele,Adjective,whole
197,drie,Numeral,three
198,vast,Adjective,fixed
199,na,Preposition,after
