,Dutch
0,contant
1,varen
2,set
3,opgehangen
4,bedrag
5,knuffel
6,aangeboden
7,verknald
8,kostte
9,jager
10,glimlach
11,love
12,sukkels
13,blank
14,McGee
15,overeind
16,Russell
17,beurs
18,onzichtbaar
19,kandidaat
20,beroofd
21,uitgevoerd
22,ton
23,voetbal
24,dekken
25,diepe
26,dominee
27,leeuw
28,dieper
29,Jill
30,fortuin
31,inzetten
32,zweet
33,Gina
34,gewoonte
35,gebouwen
36,Frodo
37,gebrek
38,bekennen
39,durven
40,Justin
41,opzetten
42,zonen
43,toont
44,huren
45,gevuld
46,schoppen
47,geniaal
48,officiële
49,indien
50,Japanse
51,Harvard
52,erbuiten
53,mekaar
54,blok
55,tja
56,stierven
57,pijpen
58,brigadier
59,kwartier
60,interne
61,wennen
62,inzet
63,mariniers
64,plekje
65,meesten
66,beseft
67,vielen
68,waaraan
69,verward
70,kleuren
71,mysterie
72,federatie
73,campagne
74,verlangen
75,knal
76,aankomt
77,behandelt
78,systemen
79,ernstige
80,circus
81,voordeur
82,rechtszaak
83,maffia
84,recept
85,grapjes
86,boeren
87,Travis
88,lente
89,toekomstige
90,verblijf
91,moderne
92,piano
93,terrorist
94,nuttig
95,zaal
96,vette
97,afgemaakt
98,opgevoed
99,overstuur
